2006 ($1000s),2009 ($1000s),,
213100,155400,,
226200,189800,,
239100,200800,,
214300,280400,,
161700,213200,,
181200,181100,,
228600,117400,,
222100,130000,,
228900,170000,,
235800,149600,,
219400,146200,,
238800,54400,,
301800,213800,,
264200,186000,,
320200,182100,,
315000,180000,,
118900,215700,,
172400,164200,,
137500,95300,,
212800,239500,,
175400,207200,,
311400,188200,,
296900,169400,,
292500,185600,,
287700,177000,,
246500,178000,,
195600,161200,,
155300,249200,,
152400,146400,,
211200,99800,,
,246700,,
,173500,,
,138100,,
,112200,,
,137500,,
,147900,,
,179000,,
,116200,,
,197500,,
,164200,,
