Unit Rented?,
March 2007,March 2008
Yes,No
No,Yes
Yes,Yes
No,No
No,Yes
Yes,No
No,No
No,Yes
No,Yes
Yes,Yes
No,No
Yes,No
No,Yes
No,Yes
No,Yes
No,Yes
No,No
No,Yes
No,Yes
No,Yes
No,Yes
No,No
Yes,Yes
Yes,No
Yes,Yes
Yes,No
No,Yes
Yes,No
No,No
No,No
No,Yes
Yes,Yes
No,No
Yes,Yes
No,No
Yes,No
No,Yes
Yes,Yes
Yes,No
No,No
No,Yes
Yes,Yes
No,No
No,Yes
Yes,No
Yes,No
No,Yes
No,Yes
No,Yes
No,Yes
No,No
No,No
Yes,No
No,No
No,Yes
No,No
No,No
No,No
Yes,No
No,Yes
Yes,No
No,Yes
No,Yes
Yes,No
No,No
No,No
No,No
Yes,No
No,Yes
No,No
Yes,No
Yes,No
Yes,No
No,No
No,Yes
No,Yes
Yes,Yes
No,No
No,No
No,Yes
No,Yes
No,Yes
Yes,No
No,No
Yes,Yes
No,No
Yes,Yes
No,No
Yes,No
No,Yes
No,Yes
No,Yes
Yes,Yes
No,Yes
No,Yes
Yes,Yes
No,Yes
No,Yes
No,No
No,No
Yes,Yes
No,No
Yes,Yes
Yes,No
Yes,No
No,No
No,No
Yes,Yes
No,Yes
Yes,No
Yes,Yes
Yes,No
No,No
Yes,Yes
No,No
Yes,No
No,No
Yes,No
Yes,No
No,No
No,No
No,No
No,No
No,Yes
No,Yes
No,No
No,Yes
No,No
Yes,No
Yes,No
Yes,Yes
No,No
No,Yes
No,Yes
Yes,No
No,Yes
No,No
Yes,No
Yes,No
No,No
Yes,Yes
Yes,Yes
No,Yes
Yes,No
No,Yes
Yes,Yes
No,Yes
Yes,No
Yes,No
No,No
No,
No,
Yes,
No,
No,
No,
No,
No,
No,
No,
No,
No,
Yes,
Yes,
No,
No,
No,
Yes,
No,
No,
No,
No,
No,
No,
No,
Yes,
Yes,
No,
No,
Yes,
No,
No,
Yes,
No,
Yes,
No,
No,
Yes,
Yes,
No,
No,
No,
No,
No,
Yes,
Yes,
No,
No,
No,
No,
