Owner,Population,Likely Purchase,,,,,,
1,Chevrolet Impala,Yes,,,,,,
2,Chevrolet Impala,Yes,,,,,,
3,Chevrolet Impala,No,,,,,,
4,Chevrolet Impala,Yes,,,,,,
5,Chevrolet Impala,Yes,,,,,,
6,Chevrolet Impala,Yes,,,,,,
7,Chevrolet Impala,Yes,,,,,,
8,Chevrolet Impala,Yes,,,,,,
9,Chevrolet Impala,No,,,,,,
10,Chevrolet Impala,Yes,,,,,,
11,Chevrolet Impala,Yes,,,,,,
12,Chevrolet Impala,No,,,,,,
13,Chevrolet Impala,Yes,,,,,,
14,Chevrolet Impala,No,,,,,,
15,Chevrolet Impala,No,,,,,,
16,Chevrolet Impala,No,,,,,,
17,Chevrolet Impala,No,,,,,,
18,Chevrolet Impala,Yes,,,,,,
19,Chevrolet Impala,No,,,,,,
20,Chevrolet Impala,Yes,,,,,,
21,Chevrolet Impala,Yes,,,,,,
22,Chevrolet Impala,No,,,,,,
23,Chevrolet Impala,No,,,,,,
24,Chevrolet Impala,Yes,,,,,,
25,Chevrolet Impala,Yes,,,,,,
26,Chevrolet Impala,Yes,,,,,,
27,Chevrolet Impala,No,,,,,,
28,Chevrolet Impala,Yes,,,,,,
29,Chevrolet Impala,No,,,,,,
30,Chevrolet Impala,No,,,,,,
31,Chevrolet Impala,No,,,,,,
32,Chevrolet Impala,Yes,,,,,,
33,Chevrolet Impala,Yes,,,,,,
34,Chevrolet Impala,No,,,,,,
35,Chevrolet Impala,Yes,,,,,,
36,Chevrolet Impala,Yes,,,,,,
37,Chevrolet Impala,No,,,,,,
38,Chevrolet Impala,No,,,,,,
39,Chevrolet Impala,Yes,,,,,,
40,Chevrolet Impala,No,,,,,,
41,Chevrolet Impala,Yes,,,,,,
42,Chevrolet Impala,Yes,,,,,,
43,Chevrolet Impala,Yes,,,,,,
44,Chevrolet Impala,No,,,,,,
45,Chevrolet Impala,Yes,,,,,,
46,Chevrolet Impala,Yes,,,,,,
47,Chevrolet Impala,No,,,,,,
48,Chevrolet Impala,Yes,,,,,,
49,Chevrolet Impala,No,,,,,,
50,Chevrolet Impala,No,,,,,,
