Beer Drinker,Preference,Gender
1,Regular,Male
2,Light,Female
3,Regular,Male
4,Regular,Male
5,Regular,Female
6,Regular,Male
7,Dark,Male
8,Dark,Male
9,Dark,Male
10,Light,Female
11,Light,Male
12,Dark,Female
13,Regular,Male
14,Regular,Male
15,Light,Male
16,Regular,Male
17,Dark,Male
18,Regular,Male
19,Light,Female
20,Regular,Female
21,Regular,Female
22,Light,Male
23,Regular,Male
24,Light,Female
25,Light,Male
26,Dark,Male
27,Light,Male
28,Light,Male
29,Regular,Male
30,Light,Male
31,Light,Male
32,Light,Female
33,Regular,Male
34,Dark,Male
35,Regular,Male
36,Regular,Female
37,Regular,Male
38,Dark,Male
39,Regular,Female
40,Dark,Male
41,Light,Female
42,Dark,Female
43,Dark,Male
44,Regular,Female
45,Light,Male
46,Light,Male
47,Regular,Male
48,Light,Female
49,Light,Male
50,Regular,Male
51,Light,Male
52,Light,Male
53,Light,Female
54,Regular,Female
55,Light,Male
56,Regular,Male
57,Dark,Male
58,Light,Female
59,Light,Male
60,Dark,Male
61,Regular,Male
62,Regular,Male
63,Light,Female
64,Dark,Male
65,Light,Male
66,Light,Female
67,Regular,Female
68,Light,Male
69,Light,Male
70,Regular,Male
71,Light,Male
72,Regular,Male
73,Regular,Male
74,Regular,Male
75,Light,Female
76,Dark,Male
77,Regular,Male
78,Light,Female
79,Regular,Male
80,Regular,Male
81,Light,Female
82,Light,Female
83,Light,Male
84,Regular,Male
85,Light,Male
86,Light,Female
87,Light,Male
88,Light,Male
89,Regular,Female
90,Regular,Male
91,Regular,Female
92,Light,Male
93,Regular,Male
94,Light,Male
95,Light,Male
96,Regular,Male
97,Regular,Male
98,Light,Female
99,Light,Female
100,Dark,Male
101,Light,Male
102,Regular,Male
103,Dark,Male
104,Light,Female
105,Dark,Male
106,Regular,Male
107,Light,Male
108,Light,Male
109,Light,Male
110,Regular,Female
111,Regular,Male
112,Regular,Male
113,Light,Male
114,Regular,Male
115,Light,Female
116,Dark,Male
117,Light,Female
118,Light,Female
119,Regular,Male
120,Light,Female
121,Light,Male
122,Light,Female
123,Light,Female
124,Light,Male
125,Regular,Female
126,Regular,Male
127,Regular,Male
128,Dark,Male
129,Regular,Male
130,Dark,Female
131,Light,Female
132,Dark,Male
133,Dark,Female
134,Light,Male
135,Light,Female
136,Light,Female
137,Dark,Female
138,Regular,Male
139,Light,Female
140,Dark,Male
141,Dark,Male
142,Light,Male
143,Light,Male
144,Light,Male
145,Light,Female
146,Light,Male
147,Regular,Female
148,Light,Female
149,Light,Female
150,Dark,Male
151,Light,Male
152,Light,Female
153,Regular,Female
154,Regular,Male
155,Regular,Female
156,Regular,Female
157,Regular,Male
158,Dark,Male
159,Light,Female
160,Regular,Male
161,Regular,Male
162,Light,Male
163,Light,Male
164,Light,Male
165,Regular,Male
166,Light,Male
167,Dark,Female
168,Dark,Male
169,Regular,Male
170,Light,Female
171,Regular,Female
172,Regular,Male
173,Dark,Female
174,Dark,Female
175,Light,Female
176,Regular,Male
177,Light,Female
178,Regular,Male
179,Regular,Male
180,Light,Female
181,Regular,Female
182,Regular,Female
183,Regular,Male
184,Light,Male
185,Regular,Male
186,Light,Female
187,Regular,Female
188,Regular,Male
189,Regular,Male
190,Regular,Female
191,Dark,Male
192,Light,Male
193,Light,Male
194,Regular,Male
195,Light,Male
196,Light,Male
197,Regular,Male
198,Light,Male
199,Light,Male
200,Light,Male
