Observation,Party,Pay Cut?,Lobbyists?,Term Limits?
1,Democrat,1,2,2
2,Democrat,1,1,2
3,Democrat,2,1,2
4,Democrat,1,2,1
5,Democrat,2,2,2
6,Democrat,2,1,1
7,Democrat,1,2,2
8,Democrat,2,1,2
9,Democrat,1,1,2
10,Democrat,1,2,1
11,Democrat,1,2,1
12,Democrat,1,2,1
13,Democrat,2,2,1
14,Democrat,1,2,1
15,Democrat,1,1,1
16,Democrat,1,2,2
17,Democrat,1,1,2
18,Democrat,1,2,1
19,Democrat,1,1,2
20,Democrat,1,1,1
21,Democrat,2,2,1
22,Democrat,1,2,2
23,Democrat,2,1,2
24,Democrat,2,1,1
25,Democrat,2,1,1
26,Democrat,1,1,1
27,Democrat,1,1,2
28,Democrat,2,1,1
29,Democrat,2,2,2
30,Democrat,1,1,2
31,Democrat,1,2,2
32,Democrat,2,1,1
33,Democrat,1,1,2
34,Democrat,2,1,1
35,Democrat,2,1,2
36,Democrat,1,1,2
37,Independent,2,2,1
38,Independent,2,2,1
39,Independent,1,1,1
40,Independent,1,1,2
41,Independent,2,1,2
42,Independent,2,2,1
43,Independent,1,1,2
44,Independent,2,1,1
45,Independent,1,1,1
46,Independent,2,1,2
47,Independent,1,1,1
48,Independent,1,1,1
49,Independent,2,1,2
50,Independent,2,2,1
51,Independent,1,1,2
52,Independent,1,1,1
53,Independent,1,1,2
54,Independent,1,1,2
55,Independent,2,1,2
56,Republican,1,1,1
57,Republican,1,2,1
58,Republican,1,1,2
59,Republican,1,1,1
60,Republican,2,1,2
61,Republican,1,1,2
62,Republican,1,1,2
63,Republican,1,1,1
64,Republican,1,1,1
65,Republican,1,1,1
66,Republican,1,1,2
67,Republican,1,1,2
68,Republican,1,2,1
69,Republican,1,2,1
70,Republican,1,1,1
71,Republican,2,2,1
72,Republican,2,1,1
73,Republican,1,1,1
74,Republican,2,2,1
75,Republican,2,1,1
76,Republican,1,2,1
77,Republican,1,2,1
78,Republican,1,1,2
79,Republican,1,1,1
80,Republican,1,1,1
81,Republican,1,2,1
82,Republican,1,2,2
83,Republican,2,1,2
84,Republican,1,1,1
85,Republican,1,1,2
86,Republican,1,1,1
87,Republican,1,1,2
88,Republican,1,1,2
89,Republican,1,1,1
90,Republican,1,1,1
91,Republican,1,1,1
92,Republican,1,1,1
93,Republican,1,1,1
94,Republican,1,1,1
95,Republican,1,1,1
96,Republican,1,2,1
97,Republican,1,1,1
98,Republican,1,1,1
99,Republican,1,2,2
100,Republican,1,1,1
