Northeast,Midwest,South,West
28.6,36.7,59.9,16.4
39.9,33.4,37.2,33.5
31.9,22.8,28.0,22.3
46.3,43.8,41.1,12.4
32.5,32.1,33.9,43.7
14.9,58.3,18.8,26.8
36.8,31.1,30.3,57.3
36.3,64.0,67.4,14.3
37.7,27.6,32.6,37.0
58.4,55.5,30.0,28.1
60.6,78.8,39.1,17.5
,42.2,29.7,32.3
,74.7,29.8,52.4
,36.5,23.7,51.5
,28.7,34.0,25.4
,60.4,24.5,29.6
,58.2,54.2,27.6
,21.0,31.0,31.5
,28.8,41.9,22.8
,25.5,70.2,34.6
,73.9,22.7,33.0
,36.8,30.7,37.0
,28.4,30.8,33.8
,27.2,21.6,28.7
,31.8,31.5,21.8
,56.8,38.2,
,28.3,40.2,
,33.3,35.4,
,39.4,21.6,
,39.2,35.5,
,,26.1,
,,32.7,
