College,RR(%),GR(%)
Western International University,7,25
South University,51,25
University of Phoenix,4,28
American InterContinental University,29,32
Franklin University,33,33
Devry University,47,33
Tiffin University,63,34
Post University,45,36
Peirce College,60,36
Everest University,62,36
Upper Iowa University,67,36
Dickinson State University,65,37
Western Governors University,78,37
Kaplan University,75,38
Salem International University,54,39
Ashford University,45,41
ITT Technical Institute,38,44
Berkeley College,51,45
Grand Canyon University,69,46
Nova Southeastern University,60,47
Westwood College,37,48
Everglades University,63,50
Liberty University,73,51
LeTourneau University,78,52
Rasmussen College,48,53
Keiser University,95,55
Herzing College,68,56
National University,100,57
Florida National College,100,61
