Manufacturer,Displacement,Fuel,Drive,Hwy MPG
Audi,2.0,Premium,F,30
Audi,2.0,Premium,F,31
Audi,2.0,Premium,F,31
Audi,2.0,Premium,F,33
Audi,2.0,Premium,A,29
Audi,2.0,Premium,A,31
Audi,2.0,Premium,A,27
BMW,1.6,Premium,F,30
BMW,1.6,Premium,F,35
BMW,1.6,Premium,F,32
BMW,1.6,Premium,F,32
BMW,2.0,Premium,R,36
BMW,2.0,Premium,R,34
BMW,1.6,Premium,A,30
BMW,1.6,Premium,A,31
Chrysler Group LLC,2.4,Regular,F,29
Ford Motor Company,2.0,Regular,F,38
Ford Motor Company,2.0,Regular,F,37
Ford Motor Company,2.0,Regular,F,36
Ford Motor Company,2.0,Regular,F,38
Ford Motor Company,2.0,Regular,F,36
Ford Motor Company,2.0,Regular,F,40
Ford Motor Company,2.0,Regular,F,40
General Motors,2.4,Regular,F,32
General Motors,1.4,Regular,F,37
General Motors,1.4,Regular,F,40
General Motors,1.8,Regular,F,35
General Motors,1.8,Regular,F,35
Honda,2.4,Regular,F,33
Honda,2.4,Regular,F,32
Honda,1.8,Regular,F,39
Honda,1.8,Regular,F,36
Honda,1.8,Regular,F,41
Honda,1.5,Regular,F,44
Honda,1.3,Regular,F,44
Honda,1.3,Regular,F,44
Honda,2.4,Premium,F,31
Honda,2.4,Premium,F,29
Honda,2.4,Premium,F,31
Hyundai,1.6,Regular,F,40
Hyundai,1.6,Regular,F,40
Hyundai,1.6,Regular,F,38
Hyundai,1.6,Regular,F,40
Kia,2.0,Regular,F,34
Kia,2.0,Regular,F,33
Kia,2.4,Regular,F,31
Kia,2.4,Regular,F,32
Kia,1.6,Regular,F,40
Kia,1.6,Regular,F,40
MAZDA,1.5,Regular,F,34
MAZDA,1.5,Regular,F,35
MAZDA,2.0,Regular,F,33
MAZDA,2.0,Regular,F,33
MAZDA,2.5,Regular,F,29
MAZDA,2.5,Regular,F,28
MAZDA,2.0,Regular,F,40
MAZDA,2.0,Regular,F,39
Mercedes-Benz,1.8,Premium,R,31
Mitsubishi Motors Co,2.0,Regular,F,34
Mitsubishi Motors Co,2.0,Regular,F,34
Mitsubishi Motors Co,2.4,Regular,F,30
Mitsubishi Motors Co,2.4,Regular,F,31
