Golfer,Earnings ($1000s),Scoring Avg.,Greens in Reg.,Putting Avg.
 Ai Miyazato,57017,72.00,0.702,30.04
 Alena Sharp,27127,72.80,0.689,30.65
 Alison Lee,136411,70.72,0.716,29.17
 Alison Walshe,66038,72.45,0.653,29.55
 Amelia Lewis,16524,73.33,0.636,29.72
 Amy Anderson,20459,73.40,0.708,31.60
 Amy Yang,470755,70.47,0.752,30.03
 Angela Stanford,93913,71.46,0.718,29.96
 Anna Nordqvist,254749,70.00,0.788,29.82
 Ariya Jutanugarn,255656,70.54,0.735,29.19
 Ashleigh Simon,2891,73.80,0.700,30.90
 Austin Ernst,118270,71.15,0.722,30.08
 Ayako Uehara,24674,73.17,0.657,30.33
 Azahara Munoz,140995,70.13,0.753,29.38
 Beatriz Recari,108561,71.85,0.716,30.38
 Belen Mozo,17927,73.73,0.634,30.23
 Brittany Lang,93959,71.65,0.703,29.85
 Brittany Lincicome,497758,70.57,0.698,29.07
 Brooke Pancake,17003,73.22,0.623,29.39
 Candie Kung,20641,72.72,0.688,30.22
 Carlota Ciganda,191247,70.75,0.762,30.39
 Caroline Hedwall,26939,72.90,0.775,32.45
 Caroline Masson,100978,71.80,0.720,30.47
 Catriona Matthew,79920,71.70,0.756,31.25
 Charley Hull,50157,72.13,0.729,31.63
 Chella Choi,95580,71.86,0.718,30.54
 Cheyenne Woods,20999,73.44,0.664,30.56
 Christel Boeljon,11462,74.50,0.646,31.38
 Christina Kim,79135,72.23,0.715,30.40
 Cristie Kerr,303597,71.04,0.741,30.04
 Danielle Kang,105003,71.29,0.688,29.00
 Demi Runas,8064,73.57,0.698,31.64
 Dewi Claire Schreefel,14410,73.17,0.664,30.56
 Dori Carter,6681,74.75,0.667,31.06
 Eun-Hee Ji,49013,72.43,0.677,29.93
 Garr+A60ett Phillips,2579,75.50,0.722,33.67
 Gerina Piller,85944,72.00,0.720,30.57
 Giulia Sergas,2855,75.14,0.667,31.93
 Ha Na Jang,227340,70.42,0.766,30.17
 Haeji Kang,19486,73.68,0.657,30.27
 Haru Nomura,47385,71.89,0.710,30.72
 Hee Kyung Seo,2511,74.60,0.644,31.80
