Sports & GT Car,Price ($1000s),Curb Weight (lb.),Horsepower,Speed at 1/4 mile (mph)
Acura Integra Type R,25.035,2577,195,90.7
Acura NSX-T,93.758,3066,290,108
BMW Z3 2.8,40.900,2844,189,93.2
Chevrolet Camaro Z28,24.865,3439,305,103.2
Chevrolet Corvette Convertible,50.144,3246,345,102.1
Dodge Viper RT/10,69.742,3319,450,116.2
Ford Mustang GT,23.200,3227,225,91.7
Honda Prelude Type SH,26.382,3042,195,89.7
Mercedes-Benz CLK320,44.988,3240,215,93
Mercedes-Benz SLK230,42.762,3025,185,92.3
Mitsubishi 3000GT VR-4,47.518,3737,320,99
Nissan 240SX SE,25.066,2862,155,84.6
Pontiac Firebird Trans Am,27.770,3455,305,103.2
Porsche Boxster,45.560,2822,201,93.2
Toyota Supra Turbo,40.989,3505,320,105
Volvo C70,41.120,3285,236,97
