Customer,Balance,Direct
1,1.22,0
2,1.56,0
3,2.10,0
4,2.25,0
5,2.89,0
6,3.55,0
7,3.56,0
8,3.65,1
9,3.77,0
10,3.88,0
11,3.98,0
12,4.09,0
13,4.26,0
14,4.57,0
15,4.91,0
16,5.24,0
17,5.54,0
18,5.73,0
19,5.88,0
20,6.17,0
21,6.28,0
22,6.52,0
23,6.70,0
24,6.74,1
25,6.80,0
26,6.85,1
27,6.93,0
28,6.98,0
29,7.26,1
30,7.42,0
31,7.66,0
32,7.76,0
33,7.78,1
34,7.94,0
35,8.10,1
36,8.60,0
37,9.75,1
38,9.79,0
39,10.11,1
40,10.15,0
41,10.19,1
42,10.37,1
43,10.92,0
44,11.35,1
45,11.69,0
46,14.43,1
47,15.07,1
48,18.45,1
49,24.98,0
50,26.05,1
