Ship ,Overall,Itineraries/Schedule,Shore Excursions,Food/Dining
Seabourn Odyssey,94.4,94.6,90.9,97.8
Seabourn Pride,93,96.7,84.2,96.7
National Geographic Endeavor,92.9,100,100,88.5
Seabourn Sojourn,91.3,88.6,94.8,97.1
Paul Gauguin,90.5,95.1,87.9,91.2
Seabourn Legend,90.3,92.5,82.1,98.8
Seabourne Spirit,90.2,96,86.3,92
Silver Explorer,89.9,92.6,92.6,88.9
Silver Spirit,89.4,94.7,85.9,90.8
Seven Seas Navigator,89.2,90.6,83.3,90.5
Silver Whisperer,89.2,90.9,82,88.6
Natinal Geographic Explorer,89.1,93.1,93.1,89.7
Silver Cloud,88.7,92.6,78.3,91.3
Celebrity Xpedition,87.2,93.1,91.7,73.6
Silver Shadow,87.2,91,75,89.7
Silver Wind,86.6,94.4,78.1,91.6
SeaDream II,86.2,95.5,77.4,90.9
Wind Star,86.1,94.9,76.5,91.5
Wind Surf,86.1,92.1,72.3,89.3
Wind Spirit,85.2,93.5,77.4,91.9
