Rank,Company,Size,Salaried ($1000s),Hourly ($1000s)
4,Wegmans Food Markets,Large,56,29
6,NetApp,Midsize,143,76
7,Camden Property Trust,Small,71,37
8,Recreational Equipment (REI),Large,103,28
10,Quicken Loans,Midsize,78,54
11,Zappos.com,Midsize,48,25
12,Mercedes-Benz USA,Small,118,50
20,USAA,Large,96,47
22,The Container Store,Midsize,71,45
25,Ultimate Software,Small,166,56
37,Plante Moran,Small,73,45
42,Baptist Health South Florida,Large,126,80
50,World Wide Technology,Small,129,31
53,Methodist Hospital ,Large,100,83
58,Perkins Coie,Small,189,63
60,American Express,Large,114,35
64,TDIndustries,Small,93,47
66,QuikTrip,Large,69,44
72,EOG Resources,Small,189,81
75,FactSet Research Systems ,Small,103,51
80,Stryker,Large,71,43
81,SRC,Small,84,33
84,Booz Allen Hamilton,Large,105,77
91,CarMax,Large,57,34
93,GoDaddy.com,Midsize,105,71
94,KPMG,Large,79,59
95,Navy Federal Credit Union,Midsize,77,39
97,Schweitzer Engineering Labs,Small,99,28
99,Darden Restaurants,Large,57,24
100,Intercontinental Hotels Group,Large,63,26
