Player,Earnings ($),Scoring Avg.,Greens in Reg.,Putting Avg.
Annika Sorenstam,"2,588,240",69.33,0.772,1.75
Paula Creamer,"1,531,780",70.98,0.727,1.75
Cristie Kerr,"1,360,941",70.86,0.722,1.76
Lorena Ochoa,"1,201,786",71.39,0.697,1.75
Jeong Jang,"1,131,986",71.17,0.71,1.79
Natalie Gulbis,"1,010,154",71.24,0.709,1.78
Meena Lee,"870,182",72.32,0.686,1.82
Hee-Won Han,"856,364",71.31,0.707,1.78
Gloria Park,"842,349",71.43,0.7,1.79
Catriona Matthew,"776,924",71.46,0.696,1.78
Candie Kung,"753,959",71.52,0.702,1.85
Marisa Baena,"744,679",71.92,0.684,1.79
Birdie Kim,"715,006",73.16,0.679,1.86
Soo-Yun Kang,"710,710",71.8,0.631,1.77
Lorie Kane,"698,763",72.28,0.718,1.84
Heather Bowie,"677,425",71.46,0.742,1.82
Wendy Ward,"675,129",72.14,0.707,1.81
Pat Hurst,"634,389",71.47,0.709,1.77
Christina Kim,"621,149",71.66,0.718,1.82
Rosie Jones,"615,499",71.58,0.662,1.8
Carin Koch,"612,036",71.59,0.699,1.79
Liselotte Neumann,"607,474",71.47,0.679,1.81
Mi Hyun Kim,"584,367",71.65,0.674,1.8
Juli Inkster,"579,240",71.33,0.701,1.79
Michele Redman,"540,167",71.59,0.686,1.81
Jennifer Rosales,"514,279",71.85,0.705,1.81
Karrie Webb,"500,268",71.52,0.709,1.81
Sophie Gustafson,"484,839",72.59,0.651,1.81
Young Kim,"470,926",71.7,0.678,1.79
Karine Icher,"451,981",72.13,0.728,1.76
