Fund Name,Fund Type,Net Asset Value ($),5 Year Average Return (%),Expense Ratio (%),Morningstar Rank
Amer Cent Inc & Growth Inv,DE,28.88,12.39,0.67,2-Star
American Century Intl. Disc,IE,14.37,30.53,1.41,3-Star
American Century Tax-Free Bond,FI,10.73,3.34,0.49,4-Star
American Century Ultra,DE,24.94,10.88,0.99,3-Star
Ariel,DE,46.39,11.32,1.03,2-Star
Artisan Intl Val,IE,25.52,24.95,1.23,3-Star
Artisan Small Cap,DE,16.92,15.67,1.18,3-Star
Baron Asset,DE,50.67,16.77,1.31,5-Star
Brandywine,DE,36.58,18.14,1.08,4-Star
Brown Cap Small ,DE,35.73,15.85,1.20,4-Star
Buffalo Mid Cap,DE,15.29,17.25,1.02,3-Star
Delafield,DE,24.32,17.77,1.32,4-Star
DFA U.S. Micro Cap,DE,13.47,17.23,0.53,3-Star
Dodge & Cox Income,FI,12.51,4.31,0.44,4-Star
Fairholme,DE,31.86,18.23,1.00,5-Star
Fidelity Contrafund,DE,73.11,17.99,0.89,5-Star
Fidelity Municipal Income,FI,12.58,4.41,0.45,5-Star
Fidelity Overseas,IE,48.39,23.46,0.90,4-Star
Fidelity Sel Electronics,DE,45.60,13.50,0.89,3-Star
Fidelity Sh-Term Bond,FI,8.60,2.76,0.45,3-Star
Fideliy,DE,39.85,14.4,0.56,4-Star
FPA New Income,FI,10.95,4.63,0.62,3-Star
Gabelli Asset AAA,DE,49.81,16.70,1.36,4-Star
Greenspring,DE,23.59,12.46,1.07,3-Star
Janus,DE,32.26,12.81,0.90,3-Star
Janus Worldwide,IE,54.83,12.31,0.86,2-Star
Kalmar Gr Val Sm Cp,DE,15.30,15.31,1.32,3-Star
Managers Freemont Bond,FI,10.56,5.14,0.60,5-Star
Marsico 21st Century,DE,17.44,15.16,1.31,5-Star
Mathews Pacific Tiger,IE,27.86,32.70,1.16,3-Star
Meridan Value,DE,31.92,15.33,1.08,4-Star
Oakmark I,DE,40.37,9.51,1.05,2-Star
PIMCO Emerg Mkts Bd D,FI,10.68,13.57,1.25,3-Star
RS Value A,DE,26.27,23.68,1.36,4-Star
T. Rowe Price Latin Am.,IE,53.89,51.10,1.24,4-Star
T. Rowe Price Mid Val,DE,22.46,16.91,0.80,4-Star
Templeton Growth A,IE,24.07,15.91,1.01,3-Star
Thornburg Value A,DE,37.53,15.46,1.27,4-Star
USAA Income,FI,12.10,4.31,0.62,3-Star
Vanguard Equity-Inc,DE,24.42,13.41,0.29,4-Star
Vanguard Global Equity,IE,23.71,21.77,0.64,5-Star
Vanguard GNMA,FI,10.37,4.25,0.21,5-Star
Vanguard Sht-Tm TE,FI,15.68,2.37,0.16,3-Star
Vanguard Sm Cp Idx,DE,32.58,17.01,0.23,3-Star
Wasatch Sm Cp Growth,DE,35.41,13.98,1.19,4-Star
