Player,Club Head Speed,Ball Speed,Launch Angle,Total Distance
Bubba Watson,124.69,184.98,8.79,309.2
Dustin Johnson,121.62,180.57,11.30,301.8
J.B. Holmes,121.33,180.00,12.97,300.6
Rory McIlroy,120.21,178.07,11.25,298.6
Charlie Beljan,122.77,180.71,9.79,296.9
Robert Garrigus,121.39,180.21,12.31,296.5
John Daly,119.07,176.70,13.13,295.9
Gary Woodland,123.80,181.59,9.54,295.6
Adam Scott,119.30,176.81,9.29,295.3
Scott Piercy,117.59,174.42,11.64,295.0
Kyle Stanley,119.51,177.02,12.59,294.5
Keegan Bradley,116.83,172.35,12.61,294.3
Martin Laird,117.74,174.88,10.41,293.5
Ryan Palmer,116.12,172.43,13.31,293.2
Scott Stallings,118.85,175.48,10.74,293.1
Jason Day,119.16,176.87,11.88,292.7
Josh Teater,115.89,171.96,11.98,292.6
Harrison Frazar,114.39,169.80,12.32,292.1
Jhonattan Vegas,122.47,180.38,9.99,291.7
Louis Oosthuizen,116.79,173.32,10.59,291.3
Troy Matteson,116.55,172.48,13.09,291.1
Edward Loar,117.69,172.53,11.53,291.0
Sean O'Hair,116.52,172.87,11.84,290.7
Seung-Yul Noh,118.35,175.08,9.89,290.0
Graham DeLaet,120.04,176.71,11.86,289.7
Troy Kelly,115.64,171.38,9.97,289.7
Angel Cabrera,119.08,176.09,9.95,289.4
Lee Westwood,117.20,173.38,9.68,289.2
Jason Kokrak,118.14,175.31,10.72,288.9
Aaron Baddeley,119.05,176.75,9.04,288.7
Bill Haas,115.55,171.27,10.57,288.7
Martin Flores,118.93,175.38,9.73,288.6
Nick Watney,118.69,175.82,9.20,288.6
Phil Mickelson,116.81,173.18,10.35,288.5
Carl Pettersson,113.85,169.03,11.11,288.2
Harris English,117.43,174.16,10.03,288.2
Boo Weekley,114.87,170.52,9.41,287.9
Bo Van Pelt,114.09,169.38,11.91,287.8
Bobby Gates,119.63,175.51,9.03,287.8
Tiger Woods,120.94,177.69,10.67,287.8
Charles Howell III,118.16,173.88,8.45,287.5
Charley Hoffman,115.76,171.17,11.31,287.5
