Restaurant,Type,Price ($),Score
Bertucci's,Italian,16,77
Black Angus Steakhouse,Seafood/Steakhouse,24,79
Bonefish Grill,Seafood/Steakhouse,26,85
Bravo! Cucina Italiana,Italian,18,84
Buca di Beppo,Italian,17,81
Bugaboo Creek Steak House,Seafood/Steakhouse,18,77
Carrabba's Italian Grill,Italian,23,86
Charlie Brown's Steakhouse,Seafood/Steakhouse,17,75
Il Fornaio,Italian,28,83
Joe's Crab Shack,Seafood/Steakhouse,15,71
Johnny Carino's Italian,Italian,17,81
Lone Star Steakhouse & Saloon,Seafood/Steakhouse,17,76
LongHorn Steakhouse,Seafood/Steakhouse,19,81
Maggiano's Little Italy,Italian,22,83
McGrath's Fish House,Seafood/Steakhouse,16,81
Olive Garden,Italian,19,81
Outback Steakhouse,Seafood/Steakhouse,20,80
Red Lobster,Seafood/Steakhouse,18,78
Romano's Macaroni Grill,Italian,18,82
The Old Spaghetti Factory,Italian,12,79
Uno Chicago Grill,Italian,16,76
