Ship ,Overall,Shore Excursions,Food/Dining
Seabourn Odyssey,94.4,90.9,97.8
Seabourn Pride,93,84.2,96.7
National Geographic Endeavor,92.9,100,88.5
Seabourn Sojourn,91.3,94.8,97.1
Paul Gauguin,90.5,87.9,91.2
Seabourn Legend,90.3,82.1,98.8
Seabourne Spirit,90.2,86.3,92
Silver Explorer,89.9,92.6,88.9
Silver Spirit,89.4,85.9,90.8
Seven Seas Navigator,89.2,83.3,90.5
Silver Whisperer,89.2,82,88.6
Natinal Geographic Explorer,89.1,93.1,89.7
Silver Cloud,88.7,78.3,91.3
Celebrity Xpedition,87.2,91.7,73.6
Silver Shadow,87.2,75,89.7
Silver Wind,86.6,78.1,91.6
SeaDream II,86.2,77.4,90.9
Wind Star,86.1,76.5,91.5
Wind Surf,86.1,72.3,89.3
Wind Spirit,85.2,77.4,91.9
