Tire,Steering,Tread Wear,Buy Again
Goodyear Assurance TripleTred,8.9,8.5,8.1
Michelin HydroEdge,8.9,9,8.3
Michelin Harmony,8.3,8.8,8.2
Dunlop SP 60,8.2,8.5,7.9
Goodyear Assurance ComforTred,7.9,7.7,7.1
Yokohama Y372,8.4,8.2,8.9
Yokohama Aegis LS4,7.9,7,7.1
Kumho Power Star 758,7.9,7.9,8.3
Goodyear Assurance,7.6,5.8,4.5
Hankook H406,7.8,6.8,6.2
Michelin Energy LX4,7.4,5.7,4.8
Michelin MX4,7,6.5,5.3
Michelin Symmetry,6.9,5.7,4.2
Kumho 722,7.2,6.6,5
Dunlop SP 40 A/S,6.2,4.2,3.4
Bridgestone Insignia SE200,5.7,5.5,3.6
Goodyear Integrity,5.7,5.4,2.9
Dunlop SP20 FE,5.7,5,3.3
