Tire,Wet,Noise,Buy Again,Purchase
BFGoodrich g-Force Super Sport A/S,8.0,7.2,6.1,0
BFGoodrich g-Force Super Sport A/S H&V,8.0,7.2,6.6,1
BFGoodrich g-Force T/A KDWS,7.6,7.5,6.9,1
Bridgestone B381,6.6,5.4,6.6,0
Bridgestone Insignia SE200,5.8,6.3,4.0,0
Bridgestone Insignia SE200-02,6.3,5.7,4.5,0
Bridgestone Potenza G 019 Grid,7.7,5.2,5.0,0
Bridgestone Potenza RE92,5.0,6.2,2.5,0
Bridgestone Potenza RE92A,5.6,6.4,2.7,0
Bridgestone Potenza RE960AS Pole Position,8.8,8.5,8.1,1
Bridgestone Potenza RE970AS Pole Position,9.2,8.9,8.5,1
Continental ContiEcoContact EP,8.1,8.2,8.0,1
Continental ExtremeContact DWS,9.0,8.5,8.0,1
Dunlop SP Sport 01 A/S,6.0,5.2,2.7,0
Dunlop SP Sport 5000 Asymmetrical,8.0,7.8,7.6,1
Dunlop SP Sport 5000 M,6.0,6.5,3.6,0
Dunlop SP Sport 5000 Symmetrical,6.9,5.7,4.3,0
Dunlop SP Sport 7000 A/S,6.6,5.6,3.7,0
Dunlop SP Sport Maxx A1 A/S,7.3,7.9,4.2,0
Dunlop SP Sport Signature (H&V),8.0,7.6,6.9,1
Dunlop SP Sport Signature (W&Y),8.0,7.3,6.3,0
Dunlop SP20 FE,4.8,5.7,3.4,0
Dunlop SP31 A/S,5.2,4.8,1.8,0
Dunlop SP50,5.9,3.6,2.8,0
Firestone Firehawk GT,7.6,5.7,5.4,0
Firestone Firehawk GTA 02,5.3,5.3,3.3,0
Firestone Firehawk GTA-03,5.5,3.8,2.3,0
Firestone FR710,7.4,7.0,5.8,0
Firestone Precision Sport,8.4,6.4,7.2,1
General G-MAX AS-03,9.1,8.3,8.5,1
Goodyear Assurance ComforTred,8.1,8.6,6.8,1
Goodyear Assurance Fuel Max,7.2,7.3,5.5,0
Goodyear Assurance TripleTred,8.9,7.4,7.3,1
Goodyear Assurance TripleTred All-Season,9.1,7.5,6.9,1
Goodyear Eagle F1 A/S-C,8.1,6.6,7.2,1
Goodyear Eagle F1 All Season,8.2,5.2,4.9,0
Goodyear Eagle GT (V),8.2,7.0,6.6,1
Goodyear Eagle GT (W),8.1,6.9,6.0,0
Goodyear Eagle RS-A,5.6,6.0,3.5,0
Goodyear Integrity,4.9,6.0,3.0,0
Hankook Ventus V4 ES H105,7.5,7.5,6.1,0
Kumho 722,5.9,6.7,4.8,0
Kumho Ecsta 4X,8.5,8.3,8.5,1
Kumho Ecsta AST,7.1,7.2,6.4,1
Kumho Ecsta ASX,7.8,7.9,7.4,1
Michelin Energy LX4,6.5,6.9,4.5,0
Michelin Energy Saver A/S,8.4,8.0,7.5,1
Michelin Harmony,8.4,8.3,8.2,1
Michelin HydroEdge with Green X,9.0,7.7,7.8,1
Michelin MX4,6.6,7.0,5.3,0
Michelin Pilot Exalto A/S,8.7,8.4,8.1,1
Michelin Pilot Sport A/S Plus,8.9,8.2,8.0,1
Michelin Symmetry,6.5,6.6,4.4,0
Pirelli P6 allroad,6.5,5.0,3.0,0
Pirelli PZero Nero All Season,8.4,8.0,7.6,1
Pirelli PZero Nero M&S,8.3,8.2,7.7,1
Sumitomo HTR A/S P01 (H&V),8.1,8.2,7.4,1
Sumitomo HTR A/S P01 (W),7.9,7.4,6.6,1
Yokohama ADVAN A82A,6.8,6.4,3.9,0
Yokohama ADVAN S.4.,8.6,8.4,7.8,1
Yokohama AVID ENVigor (H&V),8.6,8.3,7.1,1
Yokohama AVID ENVigor (W),8.1,7.6,6.2,0
Yokohama AVID S33,5.0,6.3,2.6,0
Yokohama AVID S34B,7.1,7.6,3.7,0
Yokohama AVID S34D,4.3,4.6,1.4,0
Yokohama AVID W4S,7.8,6.9,6.2,0
Yokohama S32A,5.8,5.5,2.6,0
Yokohama Y372,8.2,8.4,8.9,1
