Delay,Industry,Public,Quality,Finished
62,0,0,3,1
45,0,1,3,3
54,0,0,2,2
71,0,1,1,2
91,0,0,1,1
62,0,0,4,4
61,0,0,3,2
69,0,1,5,2
80,0,0,1,1
52,0,0,5,3
47,0,0,3,2
65,0,1,2,3
60,0,0,1,3
81,1,0,1,2
73,1,0,2,2
89,1,0,2,1
71,1,0,5,4
76,1,0,2,2
68,1,0,1,2
68,1,0,5,2
86,1,0,2,2
76,1,1,3,1
67,1,0,2,3
57,1,0,4,2
55,1,1,3,2
54,1,0,5,2
69,1,0,3,3
82,1,0,5,1
94,1,0,1,1
74,1,1,5,2
75,1,1,4,3
69,1,0,2,2
71,1,0,4,4
79,1,0,5,2
80,1,0,1,4
91,1,0,4,1
92,1,0,1,4
46,1,1,4,3
72,1,0,5,2
85,1,0,5,1
