Brand and Model,Type,Weight,Price
Klein Rêve v,Road,20,1800
Giant OCR Composite 3,Road,22,1800
Giant OCR 1,Road,22,1000
Specialized Roubaix,Road,21,1300
Trek Pilot 2.1,Road,21,1320
Cannondale Synapse 4,Road,21,1050
LeMond Poprad,Road,22,1350
Raleigh Cadent 1.0,Road,24,650
Giant FCR3,Fitness,23,630
Schwinn Super Sport GS,Fitness,23,700
Fuji Absolute 2.0,Fitness,24,700
Jamis Coda Comp,Fitness,26,830
Cannondale Road Warrior 400,Fitness,25,700
Schwinn Sierra GS,Comfort,31,340
Mongoose Switchback SX,Comfort,32,280
Giant Sedona DX,Comfort,32,360
Jamis Explorer 4.0,Comfort,35,600
Diamondback Wildwood Deluxe,Comfort,34,350
Specialized Crossroads Sport,Comfort,31,330
