Size,Hwy MPG
Compact,30
Compact,31
Compact,31
Compact,33
Compact,29
Compact,31
Compact,27
Compact,30
Compact,35
Compact,32
Compact,32
Compact,36
Compact,34
Compact,30
Compact,31
Compact,29
Compact,38
Compact,37
Compact,36
Compact,38
Compact,36
Compact,40
Compact,40
Compact,32
Compact,37
Compact,40
Compact,35
Compact,35
Compact,33
Compact,32
Compact,39
Compact,36
Compact,41
Compact,44
Compact,44
Compact,44
Compact,31
Compact,29
Compact,31
Compact,40
Compact,40
Compact,38
Compact,40
Compact,34
Compact,33
Compact,31
Compact,32
Compact,40
Compact,40
Compact,34
Compact,35
Compact,33
Compact,33
Compact,29
Compact,28
Compact,40
Compact,39
Compact,31
Compact,34
Compact,34
Compact,30
Compact,31
Compact,29
Compact,25
Compact,22
Compact,23
Compact,38
Compact,36
Compact,32
Compact,34
Compact,31
Compact,36
Compact,34
Compact,25
Compact,23
Compact,30
Compact,29
Compact,31
Compact,31
Compact,32
Compact,33
Compact,30
Compact,32
Compact,29
Compact,30
Compact,40
Compact,34
Compact,31
Compact,31
Compact,34
Compact,34
Compact,46
Compact,35
Compact,38
Compact,29
Compact,34
Compact,31
Compact,32
Compact,33
Compact,28
Compact,27
Compact,33
Compact,30
Compact,31
Compact,33
Compact,29
Compact,30
Compact,29
Compact,28
Compact,29
Compact,26
Compact,28
Compact,29
Compact,29
Compact,29
Compact,25
Compact,23
Compact,22
Compact,23
Compact,22
Compact,20
Compact,18
Compact,24
Compact,24
Compact,19
Compact,19
Compact,22
Compact,25
Compact,25
Midsize,33
Midsize,34
Midsize,32
Midsize,30
Midsize,31
Midsize,30
Midsize,31
Midsize,33
Midsize,30
Midsize,29
Midsize,36
Midsize,32
Midsize,36
Midsize,36
Midsize,29
Midsize,27
Midsize,32
Midsize,27
Midsize,36
Midsize,31
Midsize,31
Midsize,38
Midsize,38
Midsize,35
Midsize,36
Midsize,39
Midsize,42
Midsize,33
Midsize,33
Midsize,37
Midsize,40
Midsize,40
Midsize,40
Midsize,36
Midsize,34
Midsize,32
Midsize,32
Midsize,37
Midsize,34
Midsize,35
Midsize,35
Midsize,40
Midsize,39
Midsize,38
Midsize,31
Midsize,30
Midsize,25
Midsize,32
Midsize,34
Midsize,31
Midsize,30
Midsize,28
Midsize,31
Midsize,27
Midsize,25
Midsize,35
Midsize,39
Midsize,38
Midsize,48
Midsize,28
Midsize,28
Midsize,31
Midsize,30
Midsize,30
Midsize,29
Midsize,29
Midsize,27
Midsize,27
Midsize,28
Midsize,27
Midsize,25
Midsize,26
Midsize,25
Midsize,27
Midsize,27
Midsize,26
Midsize,27
Midsize,26
Midsize,26
Midsize,26
Midsize,27
Midsize,29
Midsize,24
Midsize,26
Midsize,25
Midsize,27
Midsize,30
Midsize,27
Midsize,26
Midsize,29
Midsize,32
Midsize,27
Midsize,27
Midsize,25
Midsize,26
Midsize,25
Midsize,24
Midsize,25
Midsize,28
Midsize,30
Midsize,28
Midsize,28
Midsize,23
Midsize,22
Midsize,24
Midsize,20
Midsize,23
Midsize,23
Midsize,23
Midsize,18
Midsize,19
Midsize,21
Midsize,23
Midsize,24
Midsize,24
Midsize,23
Midsize,24
Midsize,24
Midsize,23
Midsize,23
Midsize,23
Large,34
Large,34
Large,34
Large,35
Large,35
Large,28
Large,25
Large,25
Large,27
Large,27
Large,31
Large,27
Large,31
Large,27
Large,27
Large,28
Large,27
Large,25
Large,26
Large,25
Large,25
Large,23
Large,30
Large,30
Large,30
Large,29
Large,29
Large,25
Large,27
Large,30
Large,28
Large,28
Large,22
Large,22
Large,22
Large,24
Large,22
Large,22
Large,19
Large,20
Large,20
Large,20
Large,20
Large,23
Large,23
Large,23
Large,26
Large,26
Large,25
Large,23
Large,21
Large,21
Large,22
Large,25
Large,23
Large,24
Large,24
Large,23
Large,23
