Year,Make,Model,Rating,Price ($1000)
1984,Chevrolet,Corvette,18,1600
1956,Chevrolet,Corvette 265/225-hp,19,4000
1963,Chevrolet,Corvette coupe (340-bhp 4-speed),18,1000
1978,Chevrolet,Corvette coupe Silver Anniversary,19,1300
1960-1963,Ferrari,250 GTE 2+2,16,350
1962-1964,Ferrari,250 GTL Lusso,19,2650
1962,Ferrari,250 GTO,18,375
1967-1968,Ferrari,275 GTB/4 NART Spyder,17,450
1968-1973,Ferrari,365 GTB/4 Daytona,17,140
1962-1967,Jaguar,E-type OTS,15,77.5
1969-1971,Jaguar,E-type Series II OTS,14,62
1971-1974,Jaguar,E-type Series III OTS,16,125
1951-1954,Jaguar,XK 120 roadster (steel),17,400
1950-1953,Jaguar,XK C-type,16,250
1956-1957,Jaguar,XKSS,13,70
