Metro Area,Population,Income ,Cost-of-Living Index,Creative Class (%)
"New Orleans-Metairie-Kenner, LA","1,024.678",46.459,99,29.6
"Rochester, NY","1,035.435",47.749,102,33.1
"Salt Lake City, UT","1,067.190",53.587,101,30.4
"Birmingham-Hoover, AL","1,089.883",44.534,93,30.6
"Buffalo-Niagara Falls, NY","1,137.520",42.831,127,29.7
"Oklahoma City, OK","1,173.632",42.036,92,31.6
"Hartford-West Hartford-East Hartford, CT","1,188.841",61.753,116,37.5
"Richmond, VA","1,196.411",53.416,106,31.1
"Louisville-Jefferson County, KY-IN","1,220.636",45.115,98,27.2
"Memphis, TN-MS-AR","1,268.328",42.092,97,26.7
"Jacksonville, FL","1,276.856",49.736,96,27.4
"Nashville-Davidson--Murfreesboro, TN","1,455.296",47.699,92,29.8
"Austin-Round Rock, TX","1,506.425",52.882,93,36.5
"Milwaukee-Waukesha-West Allis, WI","1,509.981",50.270,100,30.3
"Charlotte-Gastonia-Concord, NC-SC","1,582.627",50.367,92,30.9
"Providence-New Bedford-Fall River, RI-MA","1,612.989",51.797,126,30.1
"Virginia Beach-Norfolk-Newport News, VA-NC","1,647.400",52.976,105,29.3
"Indianapolis-Carmel, IN","1,669.370",50.841,98,29.4
"Columbus, OH","1,725.570",49.920,102,30.9
"Las Vegas-Paradise, NV","1,777.539",53.536,109,20.6
"San Jose-Sunnyvale-Santa Clara, CA","1,784.826",80.638,154,44.4
"San Antonio, TX","1,948.437",45.019,92,29.7
"Kansas City, MO-KS","1,966.790",52.359,94,32.1
"Orlando-Kissimmee, FL","1,984.855",48.934,107,27.3
"Sacramento--Arden-Arcade--Roseville, CA","2,067.117",56.953,122,34
"Cincinnati-Middletown, OH-KY-IN","2,105.010",50.306,93,30.3
"Cleveland-Elyria-Mentor, OH","2,114.155",45.925,101,30.4
"Portland-Vancouver-Beaverton, OR-WA","2,137.599",52.480,109,30.1
"Pittsburgh, PA","2,370.776",43.260,95,30.1
"Denver-Aurora, CO","2,408.622",54.994,102,34.5
"Baltimore-Towson, MD","2,658.405",61.010,121,33.9
"Tampa-St. Petersburg-Clearwater, FL","2,697.731",43.742,101,30.2
"St. Louis, MO-IL","2,793.988",49.765,100,30.1
"San Diego-Carlsbad-San Marcos, CA","2,941.454",59.591,131,32.8
"Minneapolis-St. Paul-Bloomington, MN-WI","3,175.041",62.223,99,35.2
"Seattle-Tacoma-Bellevue, WA","3,263.497",60.663,108,35
"Riverside-San Bernardino-Ontario, CA","4,026.135",53.243,121,24.2
"Phoenix-Mesa-Scottsdale, AZ","4,039.182",51.862,102,28.3
"San Francisco-Oakland-Fremont, CA","4,180.027",70.463,157,38.8
"Boston-Cambridge-Quincy, MA-NH","4,455.217",64.144,139,41.6
"Detroit-Warren-Livonia, MI","4,468.966",52.004,105,30.6
"Atlanta-Sandy Springs-Marietta, GA","5,134.871",55.552,98,33
"Washington-Arlington-Alexandria, DC-VA-MD-WV","5,288.670",78.978,133,43.7
"Miami-Fort Lauderdale-Miami Beach, FL","5,463.857",46.637,115,25.6
"Houston-Sugar Land-Baytown, TX","5,542.048",50.250,88,31.3
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","5,826.742",55.593,116,34.9
"Dallas-Fort Worth-Arlington, TX","6,006.094",52.001,92,33
"Chicago-Naperville-Joliet, IL-IN-WI","9,506.859",57.008,106,32.3
"Los Angeles-Long Beach-Santa Ana, CA","12,950.129",55.516,131,32.9
"New York-Northern New Jersey-Long Island, NY-NJ-PA","18,818.536",59.281,148,35.6
