Year,Month,Period,Sales
1,September,1,1.71
,October,2,1.90
,November,3,2.74
,December,4,4.20
2,January,5,1.45
,February,6,1.80
,March,7,2.03
,April,8,1.99
,May,9,2.32
,June,10,2.20
,July,11,2.13
,August,12,2.43
,September,13,1.90
,October,14,2.13
,November,15,2.56
,December,16,4.16
3,January,17,2.31
,February,18,1.89
,March,19,2.02
,April,20,2.23
,May,21,2.39
,June,22,2.14
,July,23,2.27
,August,24,2.21
,September,25,1.89
,October,26,2.29
,November,27,2.83
,December,28,4.04
4,January,29,2.31
,February,30,1.99
,March,31,2.42
,April,32,2.45
,May,33,2.57
,June,34,2.42
,July,35,2.40
,August,36,2.50
,September,37,2.09
,October,38,2.54
,November,39,2.97
,December,40,4.35
5,January,41,2.56
,February,42,2.28
,March,43,2.69
,April,44,2.48
,May,45,2.73
,June,46,2.37
,July,47,2.31
,August,48,2.23
