Year,Month,Sales
1,September,55.8
,October,56.4
,November,71.4
,December,117.6
2,January,46.8
,February,48.0
,March,60.0
,April,57.6
,May,61.8
,June,58.2
,July,56.4
,August,63.0
,September,57.6
,October,53.4
,November,71.4
,December,114.0
3,January,46.8
,February,48.6
,March,59.4
,April,58.2
,May,60.6
,June,55.2
,July,51.0
,August,58.8
,September,49.8
,October,54.6
,November,65.4
,December,102.0
4,January,43.8
,February,45.6
,March,57.6
,April,53.4
,May,56.4
,June,52.8
,July,54.0
,August,60.6
,September,47.4
,October,54.6
,November,67.8
,December,100.2
5,January,48.0
,February,51.6
,March,57.6
,April,58.2
,May,60.0
,June,57.0
,July,57.6
,August,61.8
,September,69.0
,October,75.0
,November,85.2
,December,121.8
