Month,Month,Users (millions),Month,Users (millions),,,,
12/1/2004,12,1,1,1,,,,
12/1/2005,24,5.5,13,5.5,,,,
12/1/2006,36,12,25,12,,,,
4/1/2007,40,20,29,20,,,,
10/1/2007,46,50,35,50,,,,
8/1/2008,56,100,45,100,,,,
1/9/2009,61,150,50,150,,,,
2/1/2009,62,175,51,175,,,,
4/1/2009,64,200,53,200,,,,
7/1/2009,67,250,56,250,,,,
9/1/2009,69,300,58,300,,,,
12/9/2009,72,350,61,350,,,,1
2/10/2010,74,400,63,400,,,,
7/10/2010,79,500,68,500,,,,
7/11/2011,91,750,80,750,,,,
9/11/2011,93,800,82,800,,,,
2/1/2012,98,845,87,845,,,,
,,,,,,,,
,,,,,,,,
Source WSJ: 1/28/12,,,,,,,,
Company,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,5.5
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,20
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,50
