ACC,,Big Ten,,PAC-12,,SEC,
College Attended,Projected Draft Position,College Attended,Projected Draft Position,College Attended,Projected Draft Position,College Attended,Projected Draft Position
Florida State,1,Iowa,8,USC,2,Florida,3
Clemson,5,Michigan State,10,Oregon,6,Alabama,4
Miami,9,Nebraska,14,Oregon,15,Kentucky,7
Georgia Tech,13,Minnesota,26,Washington,16,Texas A&M,11
Louisville,17,Wisconsin,27,UCLA,19,Missouri,12
Wake Forest,20,,,UCLA,22,Alabama,18
Florida State,21,,,Stanford,23,LSU,25
Virginia Tech,28,,,Arizona State,24,LSU,29
