Sample,Observation 1,Observation 2,Observation 3,Observation 4,Observation 5
1,3.5056,3.5086,3.5144,3.5009,3.5030
2,3.4882,3.5085,3.4884,3.5250,3.5031
3,3.4897,3.4898,3.4995,3.5130,3.4969
4,3.5153,3.5120,3.4989,3.4900,3.4837
5,3.5059,3.5113,3.5011,3.4773,3.4801
6,3.4977,3.4961,3.5050,3.5014,3.5060
7,3.4910,3.4913,3.4976,3.4831,3.5044
8,3.4991,3.4853,3.4830,3.5083,3.5094
9,3.5099,3.5162,3.5228,3.4958,3.5004
10,3.4880,3.5015,3.5094,3.5102,3.5146
11,3.4881,3.4887,3.5141,3.5175,3.4863
12,3.5043,3.4867,3.4946,3.5018,3.4784
13,3.5043,3.4769,3.4944,3.5014,3.4904
14,3.5004,3.5030,3.5082,3.5045,3.5234
15,3.4846,3.4938,3.5065,3.5089,3.5011
16,3.5145,3.4832,3.5188,3.4935,3.4989
17,3.5004,3.5042,3.4954,3.5020,3.4889
18,3.4959,3.4823,3.4964,3.5082,3.4871
19,3.4878,3.4864,3.4960,3.5070,3.4984
20,3.4969,3.5144,3.5053,3.4985,3.4885
