Nation,WTO Status,Per Capita GDP ($),Trade Deficit ($1000s),Fitch Rating,Fitch Outlook
Armenia,Member,"5,400","2,673,359",BB-,Stable
Australia,Member,"40,800","-33,304,157",AAA,Stable
Austria,Member,"41,700","12,796,558",AAA,Stable
Azerbaijan,Observer,"5,400","-16,747,320",BBB-,Positive
Bahrain,Member,"27,300","3,102,665",BBB,Stable
Belgium,Member,"37,600","-14,930,833",AA+,Negative
Brazil,Member,"11,600","-29,796,166",BBB,Stable
Bulgaria,Member,"13,500","4,049,237",BBB-,Positive
Canada,Member,"40,300","-1,611,380",AAA,Stable
Cape Verde,Member,"4,000","874,459",B+,Stable
Chile,Member,"16,100","-14,558,218",A+,Stable
China,Member,"8,400","-156,705,311",A+,Stable
Colombia,Member,"10,100","-1,561,199",BBB-,Stable
Costa Rica,Member,"11,500","5,807,509",BB+,Stable
Croatia,Member,"18,300","8,108,103",BBB-,Negative
Cyprus,Member,"29,100","6,623,337",BBB,Negative
Czech Republic,Member,"25,900","-10,749,467",A+,Positive
Denmark,Member,"40,200","-15,057,343",AAA,Stable
Ecuador,Member,"8,300","1,993,819",B-,Stable
Egypt,Member,"6,500","28,486,933",BB,Negative
El Salvador,Member,"7,600","5,019,363",BB,Stable
Estonia,Member,"20,200","802,234",A+,Stable
France,Member,"35,000","118,841,542",AAA,Stable
Georgia,Member,"5,400","4,398,153",B+,Positive
Germany,Member,"37,900","-213,367,685",AAA,Stable
Hungary,Member,"19,600","-9,421,301",BBB-,Negative
Iceland,Member,"38,000","-504,939",BB+,Stable
Ireland,Member,"39,500","-59,093,323",BBB+,Negative
Israel,Member,"31,000","6,722,291",A,Stable
Italy,Member,"30,100","33,568,668",A+,Negative
Japan,Member,"34,300","31,675,424",AA,Negative
Kazakhstan,Observer,"13,000","-33,220,437",BBB,Positive
Kenya,Member,"1,700","9,174,198",B+,Stable
Latvia,Member,"15,400","2,448,053",BBB-,Positive
Lebanon,Observer,"15,600","13,715,550",B,Stable
Lithuania,Member,"18,700","3,359,641",BBB,Positive
Malaysia,Member,"15,600","-39,420,064",A-,Stable
Mexico,Member,"15,100","1,288,112",BBB,Stable
Peru,Member,"10,000","-7,888,993",BBB,Stable
Philippines,Member,"4,100","15,667,209",BB+,Stable
Poland,Member,"20,100","19,552,976",A-,Stable
Portugal,Member,"23,200","21,060,508",BBB-,Negative
South Korea,Member,"31,700","-37,509,141",A+,Stable
Romania,Member,"12,300","13,323,709",BBB-,Stable
Russia,Observer,"16,700","-151,400,000",BBB,Positive
Rwanda,Member,"1,300","939,222",B,Stable
Serbia,Observer,"10,700","8,275,693",BB-,Stable
Seychelles,Observer,"24,700","666,026",B,Stable
Singapore,Member,"59,900","-27,110,421",AAA,Stable
Slovakia,Member,"23,400","-2,110,626",A+,Stable
Slovenia,Member,"29,100","2,310,617",AA-,Negative
South Africa,Member,"11,000","3,321,801",BBB+,Stable
Sweden,Member,"40,600","-10,903,251",AAA,Stable
Switzerland,Member,"43,400","-27,197,873",AAA,Stable
Thailand,Member,"9,700","2,049,669",BBB,Stable
Turkey,Member,"14,600","71,612,947",BB+,Positive
UK,Member,"35,900","162,316,831",AAA,Negative
Uruguay,Member,"15,400","2,662,628",BB,Positive
USA,Member,"48,100","784,438,559",AAA,Stable
Zambia,Member,"1,600","-1,805,198",B+,Stable
