State,Population
Alabama,4.8
Alaska,0.7
Arizona,6.4
Arkansas,2.9
California,37.3
Colorado,5
Connecticut,3.6
Delaware,0.9
Florida,18.8
Georgia,9.7
Hawaii,1.4
Idaho,1.6
Illinois,12.8
Indiana,6.5
Iowa,3.0
Kansas,2.9
Kentucky,4.3
Louisiana,4.5
Maine,1.3
Maryland,5.8
Massachusetts,6.5
Michigan,9.9
Minnesota,5.3
Mississippi,3
Missouri,6
Montana,0.9
Nebraska,1.8
Nevada,2.7
New Hampshire,1.3
New Jersey,8.8
New Mexico,2
New York,19.4
North Carolina,9.5
North Dakota,0.7
Ohio,11.5
Oklahoma,3.8
Oregon,4.3
Pennsylvania,12.7
Rhode Island,1
South Carolina,4.6
South Dakota,0.8
Tennessee,6.3
Texas,25.1
Utah,2.8
Vermont,0.6
Virginia,8
Washington,6.7
West Virginia,1.9
Wisconsin,5.7
Wyoming,0.6
