School,Starting,Mid-Career,,,
California Institute of Technology,"75,500","123,000",,,
Carnegie Mellon University ,"61,800","111,000",,,
Colorado School of Mines ,"58,100","106,000",,,
Cooper Union ,"62,200","114,000",,,
Embry-Riddle Aeronautical University ,"52,700","80,700",,,
Georgia Institute of Technology ,"58,300","106,000",,,
Harvey Mudd College ,"71,800","122,000",,,
Illinois Institute of Technology,"56,000","97,800",,,
Massachusetts Institute of Technology,"72,200","126,000",,,
New Mexico Institute of Mining and Technology,"51,000","93,400",,,
"Polytechnic University of New York, Brooklyn ","62,400","114,000",,,
Rensselaer Polytechnic Institute ,"61,100","110,000",,,
Rochester Institute of Technology ,"48,900","84,600",,,
South Dakota School of Mines & Technology ,"55,800","93,400",,,
Stevens Institute of Technology ,"60,600","105,000",,,
Tennessee Technological University ,"46,200","80,000",,,
Virginia Polytechnic Institute and State University  ,"53,500","95,400",,,
Wentworth Institute of Technology ,"53,000","96,700",,,
Worcester Polytechnic Institute ,"61,000","114,000",,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
