Rank,Company,Size,Job Growth (%)
1,Google,Large,33
2,Boston Consulting Group,Small,10
3,SAS Institute,Midsized,8
4,Wegmans Food Markets,Large,5
5,Edward Jones,Large,1
6,NetApp,Midsized,30
7,Camden Property Trust,Small,-2
8,Recreational Equipment (REI),Large,12
9,CHG Healthcare Services,Small,17
10,Quicken Loans,Midsized,20
11,Zappos.com,Midsized,70
12,Mercedes-Benz USA,Small,2
13,DPR Construction,Small,18
14,DreamWorks Animation,Small,8
15,NuStar Energy,Small,6
16,Kimpton Hotels & Restaurants,Midsized,4
17,JM Family Enterprises,Midsized,-1
18,Chesapeake Energy,Large,23
19,Intuit ,Midsized,9
20,USAA,Large,7
21,Robert W. Baird ,Midsized,5
22,The Container Store,Midsized,11
23,Qualcomm,Large,6
24,Alston & Bird,Small,3
25,Ultimate Software,Small,15
26,Burns & McDonnell,Midsized,5
27,Salesforce.com,Midsized,39
28,Devon Energy,Midsized,-6
29,PCL Construction ,Small,-5
30,Bingham McCutchen,Small,-7
31,Scottrade,Midsized,9
32,Whole Foods Market,Large,6
34,Nugget Market,Small,8
35,Millennium: The Takeda Oncology Co.,Small,3
36,Southern Ohio Medical Center,Small,18
37,Plante Moran,Small,1
38,W. L. Gore & Associates,Midsized,2
39,St. Jude Children's Research Hospital,Midsized,1
40,SVB Financial Group,Small,9
41,Adobe,Midsized,11
42,Baptist Health South Florida,Large,10
44,Balfour Beatty Construction,Small,-2
45,National Instruments,Midsized,7
46,Intel,Large,4
47,American Fidelity Assurance ,Small,0
48,PricewaterhouseCoopers,Large,9
49,Children's Healthcare of Atlanta,Midsized,-1
50,World Wide Technology,Small,23
51,Allianz Life Insurance ,Small,2
52,Autodesk,Midsized,5
53,Methodist Hospital ,Large,8
54,Baker Donelson,Small,3
55,Men's Wearhouse,Large,2
56,Scripps Health,Large,2
57,Marriott International,Large,3
58,Perkins Coie,Small,7
59,Ernst & Young,Large,6
60,American Express,Large,4
61,Nordstrom,Large,6
62,Build-A-Bear Workshop,Midsized,0
63,General Mills,Large,1
64,TDIndustries,Small,9
65,Atlantic Health,Midsized,-2
66,QuikTrip,Large,3
67,Deloitte,Large,7
68,Genentech,Large,1
69,Umpqua Bank,Small,5
70,Teach For America,Small,14
71,Mayo Clinic,Large,3
72,EOG Resources,Small,13
73,Starbucks,Large,3
74,Rackspace Hosting,Midsized,37
75,FactSet Research Systems ,Small,22
76,Microsoft,Large,-4
77,Aflac,Midsized,-4
78,Publix Super Markets,Large,1
79,Mattel,Midsized,-4
80,Stryker,Large,24
81,SRC,Small,7
82,Hasbro,Midsized,3
83,Bright Horizons Family Solutions,Large,5
84,Booz Allen Hamilton,Large,7
85,Four Seasons Hotels & Resorts,Large,6
86,Hitachi Data Systems,Small,7
87,The Everett Clinic,Small,4
88,OhioHealth,Large,4
89,Morningstar,Small,8
90,Cisco,Large,7
91,CarMax,Large,16
92,Accenture,Large,9
93,GoDaddy.com,Midsized,25
94,KPMG,Large,5
95,Navy Federal Credit Union,Midsized,8
96,Meridian Health,Midsized,27
97,Schweitzer Engineering Labs,Small,27
98,Capital One,Large,7
99,Darden Restaurants,Large,12
100,Intercontinental Hotels Group,Large,-2
