Franchise,"# U.S. Locations, 2011"
Hampton Inns,"1,864"
ampm,"3,183"
McDonald's,"32,805"
7-Eleven Inc.,"37,496"
Supercuts,"2,130"
Days Inn,"1,877"
Vanguard Cleaning Systems,"2,155"
Servpro,"1,572"
Subway,"34,871"
Denny's Inc.,"1,668"
Jan-Pro Franchising Intl. Inc.,"12,394"
Hardee's,"1,901"
Pizza Hut Inc.,"13,281"
Kumon Math & Reading Centers,"25,199"
Dunkin Donuts,"9,947"
KFC Corp.,"16,224"
Jazzercise Inc.,"7,683"
Anytime Fitness,"1,618"
Matco Tools,"1,431"
Stratus Building Solutions,"5,018"
