Car,Size,Displacement,Cylinders,Drive,Fuel Type,City MPG,Hwy MPG
1,Compact,2.0,4,F,P,22,30
2,Compact,2.0,4,A,P,21,29
3,Compact,2.0,4,A,P,21,31
4,Compact,3.0,6,A,P,18,28
5,Compact,3.0,6,A,P,18,27
6,Compact,6.0,12,A,P,12,19
7,Compact,4.4,8,R,P,16,24
8,Compact,4.4,8,R,P,15,22
9,Compact,3.6,6,R,R,19,30
10,Compact,3.6,6,R,R,18,29
11,Compact,3.6,6,R,R,17,28
12,Compact,6.2,8,R,R,15,24
13,Compact,6.2,8,R,R,16,24
14,Compact,2.4,4,F,R,18,29
15,Compact,3.6,6,F,R,19,29
16,Compact,2.0,4,F,R,28,38
17,Compact,2.0,4,F,R,27,37
18,Compact,2.0,4,F,R,26,36
19,Compact,2.0,4,F,R,28,40
20,Compact,1.8,4,F,R,28,39
21,Compact,1.8,4,F,R,28,36
22,Compact,2.4,4,F,P,22,31
23,Compact,1.8,4,F,R,29,41
24,Compact,1.5,4,F,R,44,44
25,Compact,1.6,4,F,R,30,40
26,Compact,1.6,4,F,R,30,40
27,Compact,2.5,4,F,R,22,29
28,Compact,2.5,4,F,R,20,28
29,Compact,4.7,8,R,P,17,25
30,Compact,6.7,12,R,P,11,18
31,Compact,6.7,12,R,P,11,18
32,Compact,2.0,4,F,R,18,28
33,Compact,2.0,4,F,R,20,33
34,Compact,2.0,4,A,R,18,29
35,Compact,2.0,4,A,R,20,30
36,Compact,2.0,4,F,R,19,29
37,Compact,2.0,4,F,R,20,33
38,Compact,2.5,4,F,R,23,31
39,Compact,2.5,4,F,R,23,31
40,Compact,2.0,4,F,P,22,31
41,Compact,2.0,4,F,P,21,31
42,Compact,3.6,6,A,P,17,25
43,Compact,2.5,5,F,R,24,31
44,Compact,2.5,5,F,R,23,33
45,Compact,2.0,4,F,P,24,33
46,Compact,2.0,4,F,P,21,31
47,Compact,2.0,4,F,R,23,29
48,Compact,2.0,4,F,P,24,32
49,Compact,2.0,4,F,R,24,34
50,Compact,2.0,4,F,P,22,33
51,Compact,2.5,5,F,R,24,31
52,Compact,2.5,5,F,R,23,33
53,Compact,2.5,5,F,R,21,30
54,Compact,2.5,5,F,R,21,29
55,Compact,3.0,6,A,R,18,26
56,Compact,2.5,5,F,R,20,30
57,Midsize,3.5,6,F,P,20,29
58,Midsize,3.7,6,A,P,18,26
59,Midsize,3.7,6,A,P,17,25
60,Midsize,2.0,4,F,P,25,33
61,Midsize,2.0,4,F,P,25,33
62,Midsize,3.0,6,A,P,19,28
63,Midsize,3.0,6,A,P,18,28
64,Midsize,4.2,8,A,P,18,28
65,Midsize,6.0,12,A,P,11,19
66,Midsize,2.4,4,F,R,25,36
67,Midsize,3.6,6,F,R,17,27
68,Midsize,3.6,6,A,R,16,26
69,Midsize,2.0,4,F,R,18,29
70,Midsize,2.0,4,F,R,20,32
71,Midsize,2.4,4,F,R,25,36
72,Midsize,3.0,6,R,R,18,27
73,Midsize,3.0,6,R,R,16,26
74,Midsize,3.6,6,R,R,18,27
75,Midsize,6.2,8,R,P,12,18
76,Midsize,6.2,8,R,P,14,19
77,Midsize,3.0,6,A,R,18,26
78,Midsize,1.4,4,F,R,26,38
79,Midsize,1.4,4,F,R,26,38
80,Midsize,1.8,4,F,R,22,35
81,Midsize,1.8,4,F,R,25,36
82,Midsize,1.4,4,F,R,26,39
83,Midsize,1.4,4,F,R,28,42
84,Midsize,2.4,4,F,R,22,33
85,Midsize,2.4,4,F,R,22,33
86,Midsize,3.6,6,F,R,17,26
87,Midsize,2.4,4,F,R,21,30
88,Midsize,2.4,4,F,R,20,31
89,Midsize,3.6,6,F,R,19,29
90,Midsize,2.4,4,F,R,21,30
91,Midsize,2.4,4,F,R,20,31
92,Midsize,3.6,6,F,R,19,29
93,Midsize,6.4,8,R,P,14,23
94,Midsize,3.5,6,A,R,17,25
95,Midsize,2.5,4,F,R,23,33
96,Midsize,2.5,4,F,R,22,30
97,Midsize,2.5,4,F,R,22,29
98,Midsize,3.5,6,F,R,18,27
99,Midsize,3.0,6,F,R,20,28
100,Midsize,2.5,4,F,R,41,36
101,Midsize,2.5,4,F,R,22,32
102,Midsize,1.8,4,F,R,29,40
103,Midsize,1.8,4,F,R,29,40
104,Midsize,3.5,6,R,P,27,32
105,Midsize,3.7,6,F,P,18,26
106,Midsize,3.7,6,A,P,17,24
107,Midsize,5.6,8,R,P,16,24
108,Midsize,5.6,8,A,P,16,23
109,Midsize,3.5,6,A,R,17,25
110,Midsize,3.5,6,F,R,18,27
111,Midsize,2.5,4,F,R,41,36
112,Midsize,2.5,4,F,R,22,31
113,Midsize,2.5,4,F,R,21,30
114,Midsize,3.7,6,F,R,18,27
115,Midsize,2.3,4,F,P,18,25
116,Midsize,2.5,4,F,R,23,32
117,Midsize,3.5,6,F,R,20,27
118,Midsize,2.0,4,F,R,27,34
119,Midsize,2.0,4,F,R,24,31
120,Midsize,2.5,4,F,R,24,30
121,Midsize,2.5,4,F,P,21,28
122,Midsize,2.0,4,F,R,18,28
123,Midsize,2.0,4,F,R,20,33
124,Midsize,3.0,6,A,R,18,26
125,Midsize,3.2,6,F,R,20,29
126,Large,4.2,8,A,P,18,28
127,Large,6.3,12,A,P,14,21
128,Large,3.0,6,R,P,17,25
129,Large,3.0,6,R,P,17,25
130,Large,4.4,8,R,P,15,22
131,Large,4.4,8,A,P,14,20
132,Large,4.4,8,R,P,14,22
133,Large,4.4,8,A,P,14,20
134,Large,4.4,8,R,P,14,22
135,Large,4.4,8,A,P,14,20
136,Large,4.4,8,R,P,14,22
137,Large,4.4,8,A,P,14,20
138,Large,3.6,6,F,R,18,30
139,Large,3.6,6,F,R,18,30
140,Large,5.0,8,R,P,15,23
141,Large,3.8,6,R,R,19,29
142,Large,4.6,8,R,P,17,26
143,Large,5.0,8,R,P,17,26
144,Large,5.0,8,R,P,16,25
145,Large,2.0,4,F,R,22,34
146,Large,2.4,4,F,R,24,35
147,Large,2.4,4,F,R,24,35
148,Large,6.7,12,R,P,11,18
149,Large,6.7,12,R,P,11,18
