Corporation,Revenue
Amerisource Bergen,71
Archer Daniels Midland,70
AT&T,124
Bank of America,113
Berkshire Hathaway,108
Boeing,61
Cardinal Health,91
Caterpillar,51
Chevron,263
Citigroup,112
ConocoPhillips,231
Costco Wholesale,72
CVS Caremark,87
Dell,61
Dow Chemical,58
Exxon Mobil,443
Ford Motors,146
General Electric,149
Goldman Sachs,54
Hewlett-Packard,118
Home Depot,71
IBM,104
JPMorgan Chase,101
Johnson & Johnson,64
Kroger,76
Lowe's,48
Marathon Oil,74
McKesson,102
Medco Health,51
MetLife,55
Microsoft,60
Morgan Stanley,62
Pepsico,43
Pfizer,48
Procter & Gamble,84
Safeway,44
Sears Holdings,47
State Farm Insurance,61
Sunoco,52
Target,65
Time Warner,47
United Parcel Service,51
United Technologies,59
UnitedHealth Group,81
Valero Energy,118
Verizon ,97
Walgreen,59
Walmart,406
WellPoint,61
Wells Fargo,52
