Country/Region,Index,YTD          % Change
Australia,S&P/ASX200,10.2
Belgium,Bel-20,12.6
Brazil,Sao Paulo Bovespa,-14.4
Canada,S&P/TSX Comp,2.6
Chile,Santiago IPSA,-16.3
China,Shanghai Composite,-9.3
Eurozone,EURO Stoxx,10
France,CAC 40,11.8
Germany,DAX,10.6
Hong Kong,Hang Seng,-3.5
India,S&P BSE Sensex,-4.7
Israel,Tel Aviv,1.3
Italy,FTSE MIB,6.6
Japan,Nikkei,31.4
Mexico,IPC All-Share,-6.4
Netherlands,AEX,9.3
Singapore,Straits Times,-2.5
South Korea,Kospi,-6.4
Spain,IBEX 35,6.4
Sweden,SX All Share,13.8
Switzerland,Swiss Market,17.4
Taiwan,Weighted,2.3
U.K.,FTSE 100,10.1
U.S.,S&P 500,16.6
U.S. ,DJIA,14.5
U.S. ,Dow Jones Utility,6.6
U.S. ,Nasdaq 100,17.4
U.S. ,Nasdaq Composite,21.1
World,DJ Global ex U.S.,4.2
World,DJ Global Index,9.9
