State,Median Income (000's),,,
Alabama,76.2,,,
Alaska,98.4,,,
Arizona,79.7,,,
Arkansas,70.9,,,
California,91.2,,,
Colorado,89.3,,,
Connecticut,107.5,,,
Delaware,90.2,,,
Florida,75.5,,,
Georgia,79.7,,,
Hawaii,89.7,,,
Idaho,67.1,,,
Illinois,89.7,,,
Indiana,76.7,,,
Iowa,81.3,,,
Kansas,79.9,,,
Kentucky,76.4,,,
Louisiana,82.6,,,
Maine,77.8,,,
Maryland,108.5,,,
Massachusetts,106.8,,,
Michigan,81.0,,,
Minnesota,90.1,,,
Mississippi,70.4,,,
Missouri,77.0,,,
Montana,73.6,,,
Nebraska,78.3,,,
Nevada,75.1,,,
New Hampshire,93.9,,,
New Jersey,110.7,,,
New Mexico,77.6,,,
New York,95.2,,,
North Carolina,76.5,,,
North Dakota,87.0,,,
Ohio,80.9,,,
Oklahoma,74.5,,,
Oregon,78.7,,,
Pennsylvania,86.8,,,
Rhode Island,95.1,,,
South Carolina,77.1,,,
South Dakota,72.0,,,
Tennessee,73.4,,,
Texas,82.0,,,
Utah,75.0,,,
Vermont,85.1,,,
Virginia,97.2,,,
Washington,91.6,,,
West Virginia,76.8,,,
Wisconsin,82.3,,,
Wyoming,87.9,,,
