Rank,Player,PPG
1,"LeBron James, MIA",27.0
2,"Kevin Durant, OKC",28.8
3,"James Harden, HOU",26.4
4,"Kobe Bryant, LAL",27.1
5,"Russell Westbrook, OKC",22.9
6,"Carmelo Anthony, NY",28.4
7,"David Lee, GS",19.2
8,"Stephen Curry, GS",21.0
9,"LaMarcus Aldridge, POR",20.8
10,"Paul George, IND",17.6
11,"Tony Parker, SA",21.1
12,"Jrue Holiday, PHI",19.2
13,"Dwyane Wade, MIA",21.2
14,"Nicolas Batum, POR",15.5
15,"Josh Smith, ATL",17.2
16,"Al Horford, ATL",16.7
17,"Al Jefferson, UTA",17.6
18,"Blake Griffin, LAC",18.5
19,"Paul Pierce, BOS",18.3
20,"Damian Lillard, POR (Rookie)",18.3
21,"Kyrie Irving, CLE",23.3
22,"Dwight Howard, LAL",16.4
23,"Brandon Jennings, MIL",18.9
24,"Luol Deng, CHI",16.5
25,"Deron Williams, BKN",17.0
26,"Joakim Noah, CHI",11.7
27,"Zach Randolph, MEM",15.7
28,"Rudy Gay, TOR",18.0
29,"Kemba Walker, CHA",17.7
30,"Chandler Parsons, HOU",14.6
31,"Greg Monroe, DET",15.7
32,"David West, IND",17.2
33,"Monta Ellis, MIL",18.2
34,"O.J. Mayo, DAL",17.5
35,"Marc Gasol, MEM",13.6
36,"Ty Lawson, DEN",16.3
37,"Chris Paul, LAC",16.2
38,"Greivis Vasquez, NO",13.6
39,"Chris Bosh, MIA",17.1
40,"Tim Duncan, SA",16.7
41,"Joe Johnson, BKN",17.0
42,"DeMarcus Cousins, SAC",17.3
43,"DeMar DeRozan, TOR",17.5
44,"Evan Turner, PHI",14.0
45," Danilo Gallinari, DEN",16.9
46,"Klay Thompson, GS",16.3
47,"Paul Millsap, UTA",15.1
48,"Nikola Vucevic, ORL",12.3
49,"Brook Lopez, BKN",18.7
50,"George Hill, IND",14.6
