Department,Department Description,Category,Fund,Expenditure
121,Department of Human Resources,Fringe Benefits,050 - GENERAL FUND,"$7,085.21"
121,Department of Human Resources,Fringe Benefits,050 - GENERAL FUND,"$102,678.64"
121,Department of Human Resources,Fringe Benefits,050 - GENERAL FUND,"$79,112.85"
121,Department of Human Resources,Contractual Services,050 - GENERAL FUND,"$3,572.50"
121,Department of Human Resources,Payroll,050 - GENERAL FUND,"$7,299.27"
181,Citizens' Complaint Authority,Payroll,050 - GENERAL FUND,"$9,835.27"
31,Office of The Mayor,Fringe Benefits,050 - GENERAL FUND,"$15,191.45"
41,Office of The Clerk of Council,Fringe Benefits,050 - GENERAL FUND,"$25,200.15"
41,Office of The Clerk of Council,Contractual Services,050 - GENERAL FUND,"$11,560.72"
271,Department of Fire,Fringe Benefits,050 - GENERAL FUND,"$20,974.65"
271,Department of Fire,Materials and Supplies,050 - GENERAL FUND,"$13,252.43"
271,Department of Fire,Materials and Supplies,050 - GENERAL FUND,"$5,000.00"
271,Department of Fire,Contractual Services,050 - GENERAL FUND,"$4,067.20"
271,Department of Fire,Payroll,472 - FIRE GRANTS,"$832,534.56"
271,Department of Fire,Payroll,050 - GENERAL FUND,"$30,759.14"
271,Department of Fire,Payroll,050 - GENERAL FUND,"$54,574.99"
271,Department of Fire,Payroll,050 - GENERAL FUND,"$40,569.17"
271,Department of Fire,Payroll,050 - GENERAL FUND,"$22,548,365.36"
223,Police Emergency Communications,Fringe Benefits,364 - 911 CELL PHONE FEES,"$17,395.42"
223,Police Emergency Communications,Fringe Benefits,050 - GENERAL FUND,"$31,365.00"
223,Police Emergency Communications,Contractual Services,050 - GENERAL FUND,"$2,047.51"
223,Police Emergency Communications,Contractual Services,050 - GENERAL FUND,"$5,743.80"
223,Police Emergency Communications,Contractual Services,050 - GENERAL FUND,"$2,695.48"
223,Police Emergency Communications,Payroll,050 - GENERAL FUND,"-$47,283.57"
223,Police Emergency Communications,Payroll,050 - GENERAL FUND,"$2,434.84"
952,Enterprise Software and Licenses,Contractual Services,050 - GENERAL FUND,"$379,526.58"
91,Enterprise Technology Solutions,Capital,702 - ENTERPRISE TECHNOLOGY SOLUTIONS,"$5,275.00"
91,Enterprise Technology Solutions,Capital,980 - CAPITAL PROJECTS,"$23,909.68"
91,Enterprise Technology Solutions,Fringe Benefits,050 - GENERAL FUND,"$2,152.50"
91,Enterprise Technology Solutions,Fringe Benefits,050 - GENERAL FUND,"$3,825.00"
91,Enterprise Technology Solutions,Fringe Benefits,449 - CINCINNATI AREA GEOGRAPHIC INFORMATION SYSTEM (CAGIS),"$96,722.71"
91,Enterprise Technology Solutions,Fringe Benefits,050 - GENERAL FUND,"$306,684.53"
91,Enterprise Technology Solutions,Fixed Costs,457 - CLEAR FUND,"$145,000.00"
91,Enterprise Technology Solutions,Fixed Costs,702 - ENTERPRISE TECHNOLOGY SOLUTIONS,"$13,958.40"
91,Enterprise Technology Solutions,Materials and Supplies,050 - GENERAL FUND,"-$7,397.53"
91,Enterprise Technology Solutions,Materials and Supplies,449 - CINCINNATI AREA GEOGRAPHIC INFORMATION SYSTEM (CAGIS),"$3,248.96"
91,Enterprise Technology Solutions,Materials and Supplies,702 - ENTERPRISE TECHNOLOGY SOLUTIONS,"$442,682.64"
91,Enterprise Technology Solutions,Materials and Supplies,050 - GENERAL FUND,"-$45,178.00"
91,Enterprise Technology Solutions,Materials and Supplies,050 - GENERAL FUND,"$2,891.00"
91,Enterprise Technology Solutions,Materials and Supplies,449 - CINCINNATI AREA GEOGRAPHIC INFORMATION SYSTEM (CAGIS),"$4,690.50"
91,Enterprise Technology Solutions,Contractual Services,457 - CLEAR FUND,"$21,712.50"
91,Enterprise Technology Solutions,Contractual Services,457 - CLEAR FUND,"$3,330.00"
91,Enterprise Technology Solutions,Contractual Services,050 - GENERAL FUND,"$2,839.91"
91,Enterprise Technology Solutions,Contractual Services,449 - CINCINNATI AREA GEOGRAPHIC INFORMATION SYSTEM (CAGIS),"$3,646.00"
91,Enterprise Technology Solutions,Contractual Services,050 - GENERAL FUND,"$62,607.45"
91,Enterprise Technology Solutions,Contractual Services,449 - CINCINNATI AREA GEOGRAPHIC INFORMATION SYSTEM (CAGIS),"$2,863.28"
91,Enterprise Technology Solutions,Contractual Services,449 - CINCINNATI AREA GEOGRAPHIC INFORMATION SYSTEM (CAGIS),"$7,754.29"
91,Enterprise Technology Solutions,Contractual Services,457 - CLEAR FUND,"$117,578.23"
91,Enterprise Technology Solutions,Contractual Services,702 - ENTERPRISE TECHNOLOGY SOLUTIONS,"$20,000.00"
91,Enterprise Technology Solutions,Payroll,050 - GENERAL FUND,"$3,033.35"
91,Enterprise Technology Solutions,Payroll,050 - GENERAL FUND,"$2,243.09"
91,Enterprise Technology Solutions,Payroll,449 - CINCINNATI AREA GEOGRAPHIC INFORMATION SYSTEM (CAGIS),"$22,120.22"
91,Enterprise Technology Solutions,Payroll,050 - GENERAL FUND,"$3,080.74"
981,Motorized and Construction Equipment,Capital,980 - CAPITAL PROJECTS,"$315,445.80"
981,Motorized and Construction Equipment,Capital,980 - CAPITAL PROJECTS,"$270,042.50"
981,Motorized and Construction Equipment,Capital,980 - CAPITAL PROJECTS,"$29,625.00"
982,Office and Technical Equipment,Capital,701 - METROPOLITAN SEWER DISTRICT OF GREATER CINCINNATI,"$3,081.60"
982,Office and Technical Equipment,Capital,701 - METROPOLITAN SEWER DISTRICT OF GREATER CINCINNATI,"$282,994.89"
19,City Council,Fringe Benefits,050 - GENERAL FUND,"$3,682.79"
25,Councilmember C. Winburn,Payroll,050 - GENERAL FUND,"$2,307.70"
61,Convention Facility Authority,Fixed Costs,715 - Convention Facility Authority,"$45,700.00"
90,Enterprise Technology Solutions,Capital,980 - CAPITAL PROJECTS,"$113,240.00"
90,Enterprise Technology Solutions,Capital,980 - CAPITAL PROJECTS,"$5,981.57"
101,Office of the City Manager,Capital,980 - CAPITAL PROJECTS,"$4,482.18"
