City ,State,Average Low temp,Average Snowfall
Atlanta,Georgia,53,2.9
Austin,Texas,59,0.6
Baltimore,Maryland,45,20.2
Birmingham,Alabama,53,1.6
Boston,Massachusetts,44,43.8
Buffalo,New York,40,94.7
Charlotte,North Carolina,49,4.3
Chicago,Illinois,41,36.7
Cincinnati,Ohio,43,11.2
Cleveland,Ohio,43,68.1
Columbus,Ohio,44,27.5
Dallas,Texas,57,1.5
Denver,Colorado,36,53.8
Detroit,Michigan,42,42.7
Hartford,Connecticut,40,40.5
Houston,Texas,60,0.1
Indianapolis,Indiana,44,25.9
Jacksonville,Florida,58,0
Kansas City,Missouri,48,13.4
Las Vegas,Nevada,59,0.3
Los Angeles,California,56,0
Louisville,Kentucky,49,12.5
Memphis,Tennessee,54,3.8
Miami,Florida,70,0
Milwaukee,Wisconsin,40,46.9
Minneapolis,Minnesota,37,54
Nashville,Tennessee,49,6.3
New Orleans,Louisiana,61,0
New York,New York,48,25.1
Oklahoma City,Oklahoma,51,7.8
Orlando,Florida,63,0
Philadelphia,Pennsylvania,47,22.4
Phoenix,Arizona,63,0
Pittsburgh,Pennsylvania,42,41.9
Portland,Oregon,45,3
Providence,Rhode Island,43,33.8
Raleigh,North Carolina,50,3.9
Richmond,Virginia,48,10.3
Riverside,California,53,0
Rochester,New York,39,99.5
Sacramento,California,48,0
Salt Lake City,Utah,42,56.2
San Antonio,Texas,59,0.7
San Diego,California,58,0
San Francisco,California,51,0
San Jose,California,50,0
Seattle,Washington,46,5
St. Louis,Missouri,48,17.7
Tampa,Florida,65,0
Virginia Beach,Virginia,52,5.8
Washington,DC,50,14.5
