Rank,Company Name,Return
1,Apple,14.8
2,Amazon.com,29.8
3,Google,49.3
4,Berkshire Hathaway,11.7
5,Starbucks,27.1
6,Coca-Cola,1.4
7,Walt Disney,33.8
8,FedEx,24.4
9,Southwest Airlines,84.5
10,General Electric,12.3
11,American Express,39.6
12,Costco Wholesale,8.1
13,Nike,32.8
14,BMW,15.1
15,Procter & Gamble,4.1
16,IBM,-12.4
17,Nordstrom,5.8
18,Singapore Airlines,-13.9
19,Johnson & Johnson,20.5
20,Whole Foods Market,13
21,Samsung Electronics,-12.9
22,McDonald's,1.8
23,3M,28.3
24,Microsoft,34.2
25,Toyota Motor,31.3
26,Boeing,63.2
27,Exxon Mobil,2.5
28,Wal-Mart Stores,5.5
29,Target,-9.6
30,J.P. Morgan Chase,16.3
31,Nestlé,5.7
32,UPS,19.3
33,Caterpillar,-4
33,Goldman Sachs Group,8
35,Wells Fargo,30.6
36,Volkswagen,6.1
37,Unilever,-7.3
38,Facebook,117.1
39,Marriott International,21.7
40,Home Depot,15.7
41,BlackRock,24.2
42,PepsiCo,11.7
43,DuPont,34.3
44,eBay,-5.1
45,Accenture,8.3
46,Deere,-7.1
47,Intel,15.3
48,Delta Air Lines,116.6
49,Cisco Systems,7.4
50,AT&T,-4.5
