Air Date,Viewers (millions)
"September 22, 2011",14.1
"September 22, 2011",14.7
"September 29, 2011",14.6
"October 6, 2011",13.6
"October 13, 2011",13.6
"October 20, 2011",14.9
"October 27, 2011",14.5
"November 3, 2011",16.0
"November 10, 2011",15.9
"November 17, 2011",15.1
"December 8, 2011",14.0
"January 12, 2012",16.1
"January 19, 2012",15.8
"January 26, 2012",16.1
"February 2, 2012",16.5
"February 9, 2012",16.2
"February 16, 2012",15.7
"February 23, 2012",16.2
"March 8, 2012",15.0
"March 29, 2012",14.0
"April 5, 2012",13.3
