School,Previous Coach's Salary,New Coach's Salary,
Arkansas," 850,000 "," 3,200,000 ",
Arkansas State," 856,210 "," 856,210 ",
Auburn," 3,500,000 "," 2,300,000 ",
Cincinnati," 1,769,648 "," 2,200,000 ",
Colorado," 725,000 "," 2,003,500 ",
Florida International," 522,183 "," 500,000 ",
Idaho," 375,797 "," 390,000 ",
Kent State," 300,000 "," 375,000 ",
Kentucky," 1,700,000 "," 2,001,250 ",
Nevada," 493,093 "," 525,000 ",
North Carolina State," 1,936,225 "," 1,800,000 ",
Northern Illinoise," 420,000 "," 375,000 ",
Oregon," 3,500,000 "," 1,800,000 ",
Purdue," 970,000 "," 2,020,000 ",
Sa Jose State," 401,820 "," 525,000 ",
South Florida," 2,000,000 "," 1,150,000 ",
Southern Mississippi," 790,000 "," 700,000 ",
Tennessee," 2,000,000 "," 2,960,000 ",
Texas Tech," 2,150,000 "," 2,000,000 ",
Texas-El Paso," 267,800 "," 280,000 ",
Western Kentucky," 475,000 "," 850,000 ",
Western Michigan," 377,250 "," 392,500 ",
Wisconsin," 2,600,000 "," 1,800,000 ",
