City,Time (minutes)
Albuquerque,23.3
Atlanta,28.3
Austin,24.6
Baltimore,32.1
Boston,31.7
Charlotte,25.8
Chicago,38.1
Cincinnati,24.9
Cleveland,26.8
Columbus,23.4
Dallas,28.5
Denver,28.1
Detroit,29.3
El Paso,24.4
Fresno,23.0
Indianapolis,24.8
Jacksonville,26.2
Kansas City,23.4
Las Vegas,28.4
Little Rock,20.1
Los Angeles,32.2
Louisville,21.4
Memphis,23.8
Miami,30.7
Milwaukee,24.8
Minneapolis,23.6
Nashville,25.3
New Orleans,31.7
New York,43.8
Oklahoma City,22.0
Orlando,27.1
Philadelphia ,34.2
Phoenix,28.3
Pittsburgh,25.0
Portland,26.4
Providence,23.6
Richmond,23.4
Sacramento,25.8
Salt Lake City,20.2
San Antonio,26.1
San Diego,24.8
San Francisco,32.6
San Jose,28.5
Seattle,27.3
St. Louis,26.8
Tucson,24.0
Tulsa,20.1
"Washington, D.C.",32.8
