Company/Chain Name,Segment,2012 U.S. Average Sales per Store ($1000s)
Arby's,Sandwich,993
Baskin-Robbins,Snacks,207
Bojangles',Chicken,1718
Boston Market,Chicken,1184
Burger King,Burger,1195
Carl's Jr.,Burger,1470
Checkers/Rally's,Burger,903
Chick-fil-A,Chicken,3158
Chipotle Mexican Grill,Mexican,2113
Church's Chicken,Chicken,707
CiCi's Pizza,Pizza/Pasta,915
Culver's,Burger,1838
Dairy Queen,Burger,545
Del Taco,Mexican,1100
Domino's Pizza,Pizza/Pasta,710
Dunkin' Donuts,Snacks,857
El Pollo Loco,Chicken,1475
Five Guys Burgers & Fries,Burger,1049
Hardee's,Burger,1145
In-N-Out Burger,Burger,1935
Jack in the Box,Burger,1379
Jamba Juice,Snacks,715
Jason's Deli,Sandwich,2556
Jimmy John's,Sandwich,879
KFC,Chicken,957
Krispy Kreme,Snacks,2428
Little Caesars,Pizza/Pasta,465
McDonald's,Burger,2600
Moe's Southwest Grill,Mexican,1103
Panera Bread,Sandwich,2427
Papa John's,Pizza/Pasta,829
Papa Murphy's,Pizza/Pasta,575
Pizza Hut,Pizza/Pasta,883
Popeyes Louisiana Kitchen,Chicken,1242
Qdoba Mexican Grill,Mexican,966
Quiznos,Sandwich,345
Sonic Drive-In,Burger,1074
Starbucks,Snacks,1223
Steak 'n Shake,Burger,1700
Subway,Sandwich,481
Taco Bell,Mexican,1363
Tim Hortons,Snacks,1095
Wendy's,Burger,1484
Whataburger,Burger,1996
White Castle,Burger,1284
Wingstop,Chicken,902
Zaxby's,Chicken,1766
