Team,Revenue ($ millions),Current Value ($ millions)
Arizona Cardinals,253,961
Atlanta Falcons,252,933
Baltimore Ravens,292,"1,227"
Buffalo Bills,256,870
Carolina Panthers,271,"1,057"
Chicago Bears,298,"1,252"
Cincinnati Bengals,250,924
Cleveland Browns,264,"1,005"
Dallas Cowboys,539,"2,300"
Denver Broncos,283,"1,161"
Detroit Lions,248,900
Green Bay Packers,282,"1,183"
Houston Texans,320,"1,450"
Indianapolis Colts,276,"1,200"
Jacksonville Jaguars,260,840
Kansas City Chiefs,245,"1,009"
Miami Dolphins,268,"1,074"
Minnesota Vikings,234,"1,007"
New England Patriots,408,"1,800"
New Orleans Saints,276,"1,004"
New York Giants,338,"1,550"
New York Jets,321,"1,380"
Oakland Raiders,229,825
Philadelphia Eagles,306,"1,314"
Pittsburgh Steelers,266,"1,118"
San Diego Chargers,250,949
San Francisco 49ers,255,"1,224"
Seattle Seahawks,270,"1,081"
St Louis Rams,239,875
Tampa Bay Buccaneers,267,"1,067"
Tennessee Titans,270,"1,055"
Washington Redskins,381,"1,700"
