Finish,Men,Women
1,65.30,109.03
2,66.27,111.22
3,66.52,111.65
4,66.85,111.93
5,70.87,114.38
6,87.18,118.33
7,96.45,121.25
8,98.52,122.08
9,100.50,122.48
10,108.18,122.62
11,109.05,123.88
12,110.23,125.78
13,112.90,129.52
14,113.52,129.87
15,120.95,130.72
16,127.98,131.67
17,128.40,132.03
18,130.90,133.20
19,131.80,133.50
20,138.63,136.57
21,143.83,136.75
22,148.70,138.20
23,,139.00
24,,147.18
25,,147.35
26,,147.50
27,,147.75
28,,153.88
29,,154.83
30,,189.27
31,,189.28
