Customer,Day,Browser,Time (min),Pages Viewed,Amount Spent ($)
1,Mon,Internet Explorer,12.0,4,54.52
2,Wed,Other,19.5,6,94.90
3,Mon,Internet Explorer,8.5,4,26.68
4,Tue,Firefox,11.4,2,44.73
5,Wed,Internet Explorer,11.3,4,66.27
6,Sat,Firefox,10.5,6,67.80
7,Sun,Internet Explorer,11.4,2,36.04
8,Fri,Firefox,4.3,6,55.96
9,Wed,Firefox,12.7,3,70.94
10,Tue,Internet Explorer,24.7,7,68.73
11,Sat,Other,13.3,6,54.04
12,Sun,Firefox,14.3,5,48.05
13,Sun,Other,11.7,7,64.16
14,Mon,Firefox,24.4,10,158.51
15,Fri,Internet Explorer,8.4,3,84.12
16,Thu,Internet Explorer,9.6,4,59.20
17,Thu,Internet Explorer,23.3,7,91.62
18,Mon,Internet Explorer,14.0,7,126.40
19,Fri,Other,5.6,4,68.45
20,Wed,Internet Explorer,15.1,5,32.69
21,Sat,Firefox,16.3,5,78.58
22,Tue,Internet Explorer,10.2,6,74.43
23,Sun,Internet Explorer,8.0,3,32.73
24,Tue,Firefox,8.0,2,48.66
25,Fri,Firefox,9.6,3,54.66
26,Wed,Internet Explorer,11.0,2,40.54
27,Sat,Internet Explorer,16.9,5,34.69
28,Sat,Firefox,6.0,4,27.91
29,Fri,Firefox,32.9,10,155.30
30,Mon,Other,11.8,9,120.25
31,Thu,Internet Explorer,7.1,2,41.20
32,Fri,Firefox,18.0,8,134.40
33,Sun,Internet Explorer,11.8,4,37.17
34,Fri,Internet Explorer,9.1,3,52.09
35,Tue,Internet Explorer,7.8,5,71.81
36,Mon,Firefox,16.5,5,59.99
37,Thu,Firefox,6.2,4,84.17
38,Sat,Internet Explorer,11.3,4,55.58
39,Tue,Internet Explorer,10.6,2,39.06
40,Wed,Internet Explorer,5.0,5,36.48
41,Tue,Other,15.9,4,67.44
42,Sat,Internet Explorer,18.1,7,60.14
43,Fri,Firefox,10.8,4,70.38
44,Mon,Internet Explorer,13.3,7,110.65
45,Mon,Internet Explorer,30.1,6,104.23
46,Fri,Firefox,13.7,4,68.17
47,Thu,Internet Explorer,8.1,2,17.84
48,Fri,Internet Explorer,9.7,5,103.15
49,Mon,Other,7.3,6,52.15
50,Fri,Internet Explorer,13.4,3,98.75
