Hotel,Location,Rooms,Cost/Night
Boulders Resort & Spa,"Phoenix, AZ",220,499
Disney's Wilderness Lodge,"Orlando, FL",727,340
Four Seasons Hotel Beverly Hills,"Los Angeles, CA",285,585
Four Seasons Hotel,"Boston, MA",273,495
Hay-Adams,Washington DC,145,495
Inn on Biltmore Estate,"Ashville, NC",213,279
Loews Ventana Canyon Resort,"Phoenix, AZ",398,279
Mauna Lani Bay Hotel,Island of Hawaii,343,455
Montage Laguna Beach,"Laguna Beach, CA",250,595
Sofietel Water Tower,"Chicago, IL",414,367
St. Regis  Monarch Beach,"Dana Point, CA",400,675
The Broadmoor,"Colorado Springs, CO",700,420
