Manager,Annual Salary,Training Program
1,55769.50,No
2,50823.00,Yes
3,48408.20,No
4,49787.50,No
5,52801.60,Yes
6,51767.70,No
7,58346.60,Yes
8,46670.20,No
9,50246.80,Yes
10,51255.00,No
11,52546.60,No
12,49512.50,Yes
13,51753.00,Yes
14,53547.10,No
15,48052.20,No
16,44652.50,Yes
17,51764.90,Yes
18,45187.80,Yes
19,49867.50,Yes
20,53706.30,Yes
21,52039.50,Yes
22,52973.60,No
23,53372.50,No
24,54592.00,Yes
25,55738.10,Yes
26,52975.10,Yes
27,52386.20,Yes
28,51051.60,Yes
29,52095.60,Yes
30,44956.50,No
31,51968.10,Yes
32,52245.20,No
33,52614.70,No
34,55339.40,Yes
35,50113.40,No
36,55392.80,Yes
37,49558.00,Yes
38,53062.60,Yes
39,46940.10,Yes
40,50131.20,No
41,57279.20,Yes
42,55295.90,Yes
43,46482.10,Yes
44,54276.00,No
45,49879.60,Yes
46,43754.70,Yes
47,56117.20,Yes
48,50487.80,Yes
49,46833.50,No
50,49285.50,Yes
51,48523.40,Yes
52,49782.20,No
53,54854.70,No
54,44457.10,No
55,52475.50,Yes
56,50135.50,No
57,52496.60,No
58,50237.80,Yes
59,45433.40,Yes
60,52725.40,Yes
61,45356.80,No
62,49569.50,No
63,54164.80,No
64,51673.10,Yes
65,57655.80,Yes
66,59978.60,No
67,48689.10,No
68,51009.40,Yes
69,54400.40,Yes
70,50792.00,No
71,51384.10,Yes
72,53665.50,No
73,49149.80,Yes
74,49958.20,Yes
75,59026.40,Yes
76,52097.10,Yes
77,56918.00,Yes
78,52042.60,No
79,48331.10,Yes
80,55276.50,Yes
81,51477.10,Yes
82,52034.90,Yes
83,46150.00,No
84,52030.90,Yes
85,54049.30,No
86,44834.90,No
87,49082.80,No
88,58829.10,Yes
89,51814.20,Yes
90,51036.00,No
91,48712.00,Yes
92,52264.00,No
93,51738.90,No
94,59284.60,Yes
95,49793.10,Yes
96,54155.40,Yes
97,51657.80,Yes
98,48522.10,Yes
99,50788.80,Yes
100,48806.20,No
101,49144.10,No
102,46089.70,Yes
103,49129.50,Yes
104,52304.10,Yes
105,48568.50,Yes
106,51357.60,Yes
107,51694.80,Yes
108,52755.50,Yes
109,54594.70,No
110,54975.40,No
111,57995.70,Yes
112,52210.80,No
113,51960.50,No
114,50911.60,No
115,42638.00,Yes
116,55591.20,Yes
117,57856.00,Yes
118,50879.80,Yes
119,42104.00,No
120,51754.50,No
121,55069.40,No
122,47560.80,No
123,43364.50,No
124,56716.60,Yes
125,50105.60,No
126,48537.60,No
127,44119.60,Yes
128,55179.30,Yes
129,51949.80,No
130,51548.90,No
131,44406.70,Yes
132,54034.40,Yes
133,48968.80,Yes
134,41198.80,Yes
135,56366.50,Yes
136,55670.20,Yes
137,48555.60,No
138,50141.90,Yes
139,58609.40,Yes
140,48242.70,Yes
141,47254.80,Yes
142,63538.70,No
143,51759.10,No
144,52707.50,Yes
145,44647.90,Yes
146,60036.20,Yes
147,53166.20,Yes
148,57582.70,Yes
149,51618.50,Yes
150,58639.70,Yes
151,58058.30,Yes
152,59098.20,Yes
153,56035.80,No
154,46858.80,No
155,52658.70,Yes
156,58154.60,Yes
157,53872.00,No
158,46943.30,Yes
159,46718.40,No
160,56740.90,No
161,49943.80,Yes
162,50374.50,No
163,60859.10,Yes
164,52306.90,Yes
165,46572.20,No
166,49134.10,Yes
167,52935.30,Yes
168,55796.70,Yes
169,47988.50,No
170,53467.40,Yes
171,58382.90,Yes
172,44924.30,Yes
173,52927.40,Yes
174,47648.10,Yes
175,51553.80,No
176,44715.40,No
177,49221.10,Yes
178,51362.20,Yes
179,55109.70,Yes
180,49402.20,Yes
181,53576.00,Yes
182,51858.90,No
183,49589.60,Yes
184,58070.40,No
185,52461.90,Yes
186,55504.70,No
187,47434.60,No
188,45891.30,No
189,56954.90,No
190,59049.00,Yes
191,59496.10,Yes
192,50602.60,Yes
193,57737.20,No
194,48368.30,Yes
195,46951.10,No
196,47911.10,Yes
197,48789.50,Yes
198,46739.20,Yes
199,55186.30,Yes
200,50296.00,Yes
201,48565.50,No
202,59115.40,No
203,44606.40,No
204,48398.50,No
205,55479.30,No
206,59126.40,No
207,47787.90,No
208,56565.60,Yes
209,46062.10,No
210,53635.30,Yes
211,51012.90,No
212,57657.60,Yes
213,50484.90,No
214,55286.20,No
215,52949.00,Yes
216,52689.00,Yes
217,56300.90,No
218,52184.50,Yes
219,53014.90,No
220,47212.10,No
221,55170.30,Yes
222,47047.00,Yes
223,45365.80,No
224,54838.60,No
225,50190.00,No
