Metropolitan Area,Rating
"Albany, NY",64.18
"Albuquerque, NM",66.16
"Appleton, WI",60.56
"Atlanta, GA",69.97
"Austin, TX",71.48
"Baltimore, MD",69.75
"Birmingham, AL",69.59
"Boise City, ID",68.36
"Boston, MA",68.99
"Buffalo, NY",66.10
"Calgary, AB",66.04
"Carleston, SC",66.54
"Charlotte, NC",66.41
"Chattanooga, TN",62.64
"Chicago, IL",65.69
"Cincinnati, OH",73.34
"Cleveland, OH",70.63
"Columbia, SC",66.07
"Columbus, OH",68.14
"Dallas, TX",68.59
"Dayton, OH",65.82
"Denver, CO",74.09
"Detroit, MI",61.38
"Duluth, MN",60.65
"Edmonton, AB",69.37
"Fargo, ND",63.45
"Fayetteville, AR",61.88
"Fort Lauderdale, FL",65.59
"Fort Myers, FL",61.69
"Fort Wayne, IN",63.45
"Fort Worth, TX",65.34
"Gainesville, FL",60.37
"Grand Rapids, MI",63.01
"Greensboro, NC",70.95
"Greenville, SC",64.53
"Halifax, NS",61.50
"Harrisburg, PA",66.07
"Hartford, CT",62.35
"Honolulu, HI",70.98
"Houston, TX",73.94
"Huntsville, AL",60.34
"Indianaoplis, IN",71.01
"Jackson, MS",63.36
"Jacksonville, FL",69.02
"Johnson City, TN",65.09
"Kansas City, MO",66.73
"Knoxville, TN",72.74
"Lexington, KY",66.95
"Little Rock, AR",61.41
"Long Island, NY",69.56
"Los Angeles, CA",64.97
"Louisville, KY",72.68
"Madison, WI",64.08
"Memphis, TN",67.01
"Miami, FL",72.30
"Milwaukee, WI",68.93
"Minneapolis, MN",73.72
"Montreal, PQ",65.53
"Nashville, TN",70.19
"New Orleans, LA",71.36
"New York, NY",65.72
"Newark, NJ",62.89
"Norfolk, VA",68.40
"Oakland, CA",66.16
"Oklahoma City, OK",65.94
"Omaha, NE",68.93
"Oralndo, FL",71.04
"Orange County, CA",72.43
"Ottawa, ON",62.51
"Philadelphia, PA",70.54
"Phoenix, AZ",73.37
"Pittsburgh, PA",72.99
"Portland, ME",65.31
"Portland, OR",70.88
"Raleigh, NC",74.03
"Reno, NV",60.75
"Richmond, VA]",66.79
"Riverside, CA",65.72
"Roanoke, VA",63.30
"Rochester, NY",70.19
"Sacramento, CA",64.52
"Salt Lake City, UT",75.57
"San Antonio, TX",69.12
"San Diego, CA",71.61
"San Fancisco, CA",72.61
"San Jose, CA",70.69
"Santa Barbara,  CA ",62.01
"Sarasota, FL",66.41
"Scranton, PA",63.83
"Seattle, WA",74.57
"Spokane, WA",66.76
"St. Louis, MO",69.18
"Syracuse, NY",70.16
"Tampa, FL",74.50
"Toledo, OH",64.30
"Toronto, ON",74.00
"Tucson, AZ",65.66
"Vancouver, BC",72.05
"Washington, DC",74.82
"West Palm Beach, FL",67.04
