Company (Ticker),Random Number
"Alamo Group, Inc. (ALG)",0.334454836
Alpha and Omega Semiconductor (AOSL),0.055368759
CSS Industries Inc (CSS),0.453604099
Ducommun Incorporated (DCO),0.33511575
"Ennis, Inc. (EBF)",0.230997962
"Five Star Quality Care, Inc. (FVE)",0.793321797
"Flexsteel Industries, Inc. (FLXS)",0.715310
Hardinge Inc. (HDNG),0.429838402
Hooker Furniture Corporation (HOFT),0.965641421
International Shipholding Corp (ISH),0.227759457
Key Tronic Corporation (KTCC),0.893880
Kimball International Inc (KBALB),0.144127494
"LMI Aerospace, Inc. (LMIA)",0.008011601
Marlin Business Services Corp. (MRLN),0.682725374
Medical Action Industries (MDCI),0.379201093
"Mitcham Industries, Inc. (MIND)",0.425765383
"Olympic Steel, Inc. (ZEUS)",0.059279276
"PC Connection, Inc. (PCCC)",0.780583911
PCM Inc (PCMI),0.94128252
"RCM Technologies, Inc. (RCMT)",0.822116968
Renewable Energy Group Inc (REGI),0.938236275
REX American Resources Corp (REX),0.692230677
Rocky Brands Inc (RCKY),0.755681737
SigmaTron International (SGMA),0.499945025
Salem Communications Corp (SALM),0.529439271
"Shoe Carnival, Inc. (SCVL)",0.617810
"Standard Motor Products, Inc. (SMP)",0.742370
TravelCenters of America LLC (TA),0.9179015
VOXX International Corp (VOXX),0.629674789
Willis Lease Finance Corporati (WLFC),0.90631827
