Response,,Interval Estimate of a Population Proportion,
Yes,,,
No,,Sample Size,900
Yes,,Response of Interest,Yes
Yes,,Count for Response ,396
No,,Sample Proportion,0.4400
No,,,
No,,Confidence Coefficient,0.95
Yes,,z Value,1.960
Yes,,,
Yes,,Standard Error,0.0165
No,,Margin of Error,0.0324
No,,,
Yes,,Point Estimate,0.4400
No,,Lower Limit,0.4076
No,,Upper Limit,0.4724
Yes,,,
No,,,
Yes,,,
Yes,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
Yes,,,
Yes,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
Yes,,,
No,,,
No,,,
Yes,,,
No,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
No,,,
No,,,
Yes,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
Yes,,,
Yes,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
Yes,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
Yes,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
No,,,
No,,,
Yes,,,
No,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
Yes,,,
No,,,
Yes,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
No,,,
No,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
Yes,,,
Yes,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
No,,,
No,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
No,,,
No,,,
Yes,,Upper Limit,
Yes,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
Yes,,,
No,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
No,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
No,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
No,,,
Yes,,,
No,,,
Yes,,,
No,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
No,,,
Yes,,,
Yes,,,
No,,,
No,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
Yes,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
No,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
No,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
No,,,
Yes,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
No,,,
Yes,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
No,,,
Yes,,,
No,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
No,,,
No,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
Yes,,,
No,,,
Yes,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
No,,,
No,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
No,,,
No,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
Yes,,,
No,,,
Yes,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
Yes,,,
Yes,,,
No,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
No,,,
No,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
No,,,
Yes,,,
No,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
No,,,
No,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
No,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
No,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
Yes,,,
No,,,
Yes,,Lower Limit,
Yes,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
No,,,
No,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
No,,,
Yes,,,
No,,,
Yes,,,
Yes,,,
Yes,,,
Yes,,,
Yes,,,
No,,,
Yes,,,
No,,,
No,,,
No,,,
