Yards,,Hypothesis Test About a Population Mean,,
303,,With ? Known,,
282,,,,
289,,Sample Size,50,
298,,Sample Mean,297.6,
283,,Population Std. Deviation,12,
317,,,,
297,,Hypothesized Value,295,
308,,,,
317,,Standard Error,1.70,
293,,Test Statistic z,1.53,
284,,,,
290,,p-value (Lower Tail),0.9372,
304,,p-value (Upper Tail),0.0628,
290,,p-value (Two Tail),0.1255,
311,,,,
305,,,,
277,,,,
278,,,,
301,,,,
304,,,,
300,,,,
293,,,,
300,,,,
276,,,,
318,,,,
303,,,,
309,,,,
293,,,,
316,,,,
302,,,,
295,,,,
294,,,,
291,,,,
297,,,,
300,,,,
299,,,,
303,,,,
299,,,,
282,,,,
318,,,,
296,,,,
285,,,,
288,,,,
279,,,,
310,,,,
315,,,,
292,,,,
303,,,,
301,,,,
292,,,,
