Golfer,,Interval Estimate of a Population Proportion,
Female,,,
Male,,Sample Size,400
Female,,Response of Interest,Female
Male,,Count for Response ,100
Male,,Sample Proportion,0.2500
Female,,,
Male,,Hypothesized Value,0.2
Male,,,
Female,,Standard Error,0.0200
Male,,Test Statistic z,2.50
Male,,,
Male,,p-value (Lower Tail),0.9938
Male,,p-value (Upper Tail),0.0062
Male,,p-value (TwoTail),0.0124
Female,,,
Female,,,
Male,,,
Female,,,
Female,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Male,,,
Male,,,
Male,,,
Female,,,
Female,,,
Female,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Female,,,
Female,,,
Female,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Female,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Female,,,
Female,,,
Female,,,
Female,,,
Male,,,
Female,,,
Male,,,
Female,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Female,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Female,,,
Female,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Male,,,
Female,,,
Male,,,
Female,,,
Male,,,
Female,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Male,,,
Female,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Female,,,
Female,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Female,,,
Female,,,
Male,,,
Female,,,
Female,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Female,,,
Male,,,
Female,,,
Female,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Male,,,
Male,,,
Male,,,
Female,,,
Female,,,
Male,,,
Female,,,
Female,,,
Male,,,
Female,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Female,,,
Male,,,
Male,,,
Female,,,
Male,,,
Male,,,
Female,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Female,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Male,,,
Female,,,
Male,,,
Male,,,
Female,,,
Female,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Female,,,
Male,,,
Male,,,
Female,,,
Male,,,
Female,,,
Female,,,
Female,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Male,,,
Male,,,
Female,,,
Female,,,
Female,,,
Male,,,
Female,,,
Male,,,
Male,,,
Female,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Female,,,
Female,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Male,,,
Female,,,
Male,,,
Male,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,Lower Limit,
