Sample 1,Sample 2,Sample 3,Sample 4
11.55,11.62,11.91,12.02
11.62,11.69,11.36,12.02
11.52,11.59,11.75,12.05
11.75,11.82,11.95,12.18
11.90,11.97,12.14,12.11
11.64,11.71,11.72,12.07
11.80,11.87,11.61,12.05
12.03,12.10,11.85,11.64
11.94,12.01,12.16,12.39
11.92,11.99,11.91,11.65
12.13,12.20,12.12,12.11
12.09,12.16,11.61,11.90
11.93,12.00,12.21,12.22
12.21,12.28,11.56,11.88
12.32,12.39,11.95,12.03
11.93,12.00,12.01,12.35
11.85,11.92,12.06,12.09
11.76,11.83,11.76,11.77
12.16,12.23,11.82,12.20
11.77,11.84,12.12,11.79
12.00,12.07,11.60,12.30
12.04,12.11,11.95,12.27
11.98,12.05,11.96,12.29
12.30,12.37,12.22,12.47
12.18,12.25,11.75,12.03
11.97,12.04,11.96,12.17
12.17,12.24,11.95,11.94
11.85,11.92,11.89,11.97
12.30,12.37,11.88,12.23
12.15,12.22,11.93,12.25
